,Value(uM),Subject Age,Subject Sex,Subject Information,Comment,File
5074,21.5 +/- 4.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2432
5075,69.1 +/- 9.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2434
5076,68.5 +/- 10.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2440
5077,23.5 +/- 2.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2441
5078,0.01,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-2447
5079,29.6 +/- 1.9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2449
5080,139.5 +/- 10.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2451
5081,21.5 +/- 4.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2452
5082,214.8 +/- 22.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2453
5083,53.6 +/- 6.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2454
5084,79.8 +/- 8.9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2458
5085,139.5 +/- 10.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2459
5086,57.1 +/- 5.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2461
5087,214.8 +/- 22.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2462
5088,18.9 +/- 3.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2463
5089,21.5 +/- 4.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2465
5090,214.8 +/- 22.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2466
5091,69.1 +/- 9.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2467
5092,90.9 +/- 9.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2468
5093,36.5 +/- 2.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2469
5094,23.5 +/- 2.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2471
5095,69.1 +/- 9.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2472
5096,68.5 +/- 10.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2473
5097,32.0 +/- 1.4,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2474
5098,68.5 +/- 10.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2483
5099,23.5 +/- 2.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2484
5100,53.6 +/- 6.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2489
5101,36.5 +/- 2.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2502
5102,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5103,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5104,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5105,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5106,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5107,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5108,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5109,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5110,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5111,,,,Consuming polyphenols described by Phenol-Explorer entry 861,None,hmdb_metabolites-2506
5112,,,,Normal,None,hmdb_metabolites-2506
5113,0.56 +/- 0.14,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-2513
5114,0.0005 (0.00045- 0.00052),Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2523
5115,0.00045 (0.00042-0.0005),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2523
5116,0.000352,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2523
5117,0.0222 +/- 0.0449,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2524
5118,,,,Consuming polyphenols described by Phenol-Explorer entry 203,None,hmdb_metabolites-2524
5119,,,,Consuming polyphenols described by Phenol-Explorer entry 203,None,hmdb_metabolites-2524
5120,,,,Consuming polyphenols described by Phenol-Explorer entry 203,None,hmdb_metabolites-2524
5121,,,,Consuming polyphenols described by Phenol-Explorer entry 203,None,hmdb_metabolites-2524
5122,,,,Consuming polyphenols described by Phenol-Explorer entry 203,None,hmdb_metabolites-2524
5123,,,,Consuming polyphenols described by Phenol-Explorer entry 203,None,hmdb_metabolites-2524
5124,0.35 (0.05-0.66),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2524
5125,0.5 (0.033-1.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2524
5126,0.16 +/- 0.084,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2526
5127,16.0 +/- 0.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2530
5128,0.54 +/- 0.11,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2531
5129,0.0229 +/- 0.0166,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2532
5130,0.0723 +/- 0.0810,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2532
5131,0.0802 +/- 0.0817,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2532
5132,0-0.255,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2532
5133,0.03 +/- 0.015,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2532
5134,0.06 +/- 0.03,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2532
5135,0.0999 +/- 0.0977,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2537
5136,0.101 +/- 0.0985,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2537
5137,0-0.288,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2537
5138,0.0106 +/- 0.00789,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2538
5139,0.0579 +/- 0.0609,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2538
5140,0.0908 +/- 0.0742,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2538
5141,,,,Consuming polyphenols described by Phenol-Explorer entry 290,None,hmdb_metabolites-2538
5142,,,,Consuming polyphenols described by Phenol-Explorer entry 290,None,hmdb_metabolites-2538
5143,0.010 +/- 0.0078,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2538
5144,0.008 +/- 0.005,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5145,0.003 +/- 0.001,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5146,0.01 +/- 0.005,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5147,0.007 +/- 0.003,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5148,0.002,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5149,0.002 +/- 0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5150,0.001,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5151,0.005 +/- 0.004,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2542
5152,0-0.058,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2542
5153,2.09 +/- 0.22,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2542
5154,,,,Normal,None,hmdb_metabolites-2543
5155,6.5 +/- 0.03,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2544
5156,,,,Normal,None,hmdb_metabolites-2545
5157,,,,Normal,None,hmdb_metabolites-2550
5158,0.14 +/- 0.098,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2558
5159,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2561
5160,,,,Normal,None,hmdb_metabolites-2567
5161,,,,Normal,None,hmdb_metabolites-2568
5162,,,,Normal,None,hmdb_metabolites-2570
5163,0.200 +/- 0.0600,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2571
5164,0.040-0.240,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2573
5165,0.14 +/- 0.10,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2573
5166,0.11 +/- 0.10,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2574
5167,,,,Normal,None,hmdb_metabolites-2577
5168,,,,Normal,None,hmdb_metabolites-2578
5169,0.22 +/- 0.11,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2579
5170,0.00177 +/- 0.00043,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2580
5171,0.00301 +/- 0.00193 ,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-2580
5172,0.00083 +/- 0.00015,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2580
5173,0.000917 +/- 0.00058,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2580
5174,0.0014 (0.00043-0.0053),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2580
5175,,,,Normal,None,hmdb_metabolites-2595
5176,,,,Normal,None,hmdb_metabolites-2599
5177,,,,Normal,None,hmdb_metabolites-2602
5178,,,,Normal,None,hmdb_metabolites-2607
5179,,,,Normal,None,hmdb_metabolites-2608
5180,<0.001,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2609
5181,,,,Normal,None,hmdb_metabolites-2612
5182,0.026 (0.0026-0.321),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2614
5183,0.09 +/- 0.08,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2615
5184,0.0091,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2616
5185,0.0113,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2616
5186,0.014,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2616
5187,0.0013,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5188,0.0041,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5189,0.0151,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5190,0.0202,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5191,0.0207,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5192,0.022,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5193,0.0225,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5194,0.0137 +/- 0.0188,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2616
5195,,,,Normal,None,hmdb_metabolites-2616
5196,0.0178,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2616
5197,0.00422 +/- 0.000292,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2617
5198,0.35 +/- 0.25,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2617
5199,0.00642 +/- 0.00074,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2617
5200,0.0526 +/- 0.0944 ,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2617
5201,0.00395 +/- 0.0033,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2617
5202,2.71 +/- 0.50,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2618
5203,0.69 +/- 0.13,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2618
5204,3.58 +/- 1.13,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2618
5205,2.36 +/- 0.55,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2618
5206,3.630 +/- 1.151,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2618
5207,,,,Normal,None,hmdb_metabolites-2619
5208,,,,Normal,None,hmdb_metabolites-2620
5209,,,,Consuming polyphenols described by Phenol-Explorer entry 927,None,hmdb_metabolites-2620
5210,,,,Consuming polyphenols described by Phenol-Explorer entry 927,None,hmdb_metabolites-2620
5211,,,,Consuming polyphenols described by Phenol-Explorer entry 927,None,hmdb_metabolites-2620
5212,,,,Consuming polyphenols described by Phenol-Explorer entry 927,None,hmdb_metabolites-2620
5213,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2620
5214,1.26 +/- 0.258,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2621
5215,1.46 +/- 0.10,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2621
5216,1.48 +/- 0.16,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2621
5217,1.40 +/- 0.25,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2621
5218,0.011 +/- 0.0027,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2622
5219,,,,Normal,None,hmdb_metabolites-2625
5220,0.003 +/- 0.001,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2632
5221,0.003 +/- 0.0008,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2632
5222,0.000023+/-0.000026,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2635
5223,0.000074+/-0.000045,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2635
5224,0.000019 +/- 0.000023,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2635
5225,0.000273 +/- 0.000047,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2649
5226,0.02 +/- 0.003,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2651
5227,0.001 +/- 0.0001,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2651
5228,,,,Normal,None,hmdb_metabolites-2654
5229,,,,Normal,None,hmdb_metabolites-2656
5230,0.0265 +/- 0.011,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2664
5231,,,,Normal,None,hmdb_metabolites-2665
5232,,,,Normal,None,hmdb_metabolites-2670
5233,0.005 (0.0-0.044),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-2677
5234,2.1 +/- 0.7,Not Specified,Not Specified,Normal,None,hmdb_metabolites-2677
5235,4.23 +/- 0.7,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2684
5236,0.20 (0.00-0.48),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2689
5237,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2692
5238,3.34 +/- 0.31,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2692
5239,<17.803,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2692
5240,2.0 (0.0-5.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2703
5241,0.237 +/- 0.0150,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2707
5242,,,,Normal,None,hmdb_metabolites-2708
5243,0.020-0.110,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2716
5244,0.000305 +/- 0.000069 ,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2720
5245,0.217 +/- 0.021,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2722
5246,0.06 +/- 0.03,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2723
5247,0.040-0.080,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2723
5248,0.05 +/- 0.02,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2723
5249,0.05(0.02),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2723
5250,0.51,Infant (0-1 year old),Male,Normal,None,hmdb_metabolites-2723
5251,,,,Normal,None,hmdb_metabolites-2725
5252,0.11 (0.0-0.34),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2726
5253,16.0 +/- 3.0,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-2729
5254,21.0 +/- 5.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2729
5255,20.0 +/- 5.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2729
5256,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2729
5257,0-17,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-2729
5258,0-8,Infant (1 - 3 months old),Both,Normal,None,hmdb_metabolites-2729
5259,0-12,Children (3 months - 6 years old),Both,Normal,None,hmdb_metabolites-2729
5260,0-14,Children (6 - 18 years old),Both,Normal,None,hmdb_metabolites-2729
5261,39.334 +/- 6.0514,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2758
5262,36.308 +/- 6.0514,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2758
5263,33.282 +/- 6.0514,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2758
5264,30.257 +/- 9.0770,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2758
5265,45.779 +/- 12.768,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2758
5266,48.925 +/- 11.256,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2758
5267,60 +/- 20,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2758
5268,0.993 +/- 0.46,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2758
5269,60 +/- 20,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-2758
5270,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2758
5271,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2758
5272,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2758
5273,0.400 +/- 0.005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2758
5274,9.0 (7.3-11.5),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2758
5275,34.8 +/- 12.2,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-2758
5276,0.386 +/- 0.229,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2758
5277,0.149 +/- 0.087,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2766
5278,0.408 +/- 0.4,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2767
5279,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2767
5280,0.016 +/- 0.001,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2767
5281,0.0009 +/- 0.00097,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2769
5282,0.0076 (0.0038-0.0115),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2774
5283,0.29 +/- 0.04,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2846
5284,80 +/- 2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2853
5285,237 +/- 13,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2854
5286,195.48 +/- 21.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2854
5287,1.08 +/- 0.48,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2855
5288,23 +/- 2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2855
5289,39.07 +/- 11.07,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2859
5290,21.93 +/- 6.64,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2860
5291,32 +/- 2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2860
5292,4.28 +/- 4.02,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2861
5293,34 +/- 2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2861
5294,18.71 +/- 5.94,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2862
5295,32 +/- 1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2862
5296,0.53 (0-1.06),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2863
5297,10 +/- 1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2863
5298,0.011 +/- 0.001,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2863
5299,32 +/- 1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2865
5300,1.18+/- 0.12,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2865
5301,0.00016 +/- 0.00018,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2875
5302,0.00052 +/- 0.00042,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-2875
5303,,,,Normal,None,hmdb_metabolites-2880
5304,,,,Normal,None,hmdb_metabolites-2881
5305,<0.000121,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-2925
5306,<0.000129,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-2926
5307,0.00514 +/- 0.0038,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-2974
5308,0.58 +/- 0.21,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3022
5309,0.231 +/- 0.054,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3023
5310,1.42 +/- 0.42,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3024
5311,1.07 +/- 0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3025
5312,1.07 +/- 0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3026
5313,0.415 +/- 0.069,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3027
5314,0.060 +/- 0.024,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3028
5315,0.060 +/- 0.024,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3029
5316,1.37 +/- 0.53,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3031
5317,3.87 +/- 0.62,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3032
5318,2.82 +/- 0.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3033
5319,1.65 +/- 0.17,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3034
5320,1.65 +/- 0.17,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3035
5321,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3036
5322,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3037
5323,0.69 +/- 0.19,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3039
5324,1.24 +/- 0.33,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3040
5325,4.06 +/- 0.54,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3041
5326,5.28 +/- 0.65,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3042
5327,0.961 +/- 0.023,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3043
5328,0.961 +/- 0.023,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3044
5329,0.003,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3046
5330,0.013 +/- 0.005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3047
5331,0.231 +/- 0.054,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3051
5332,0.032 +/- 0.009,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3052
5333,1.07 +/- 0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3053
5334,0.415 +/- 0.069,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3054
5335,0.415 +/- 0.069,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3055
5336,0.060 +/- 0.024,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3056
5337,3.87 +/- 0.62,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3060
5338,2.82 +/- 0.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3061
5339,1.65 +/- 0.17,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3062
5340,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3063
5341,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3064
5342,1.24 +/- 0.33,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3068
5343,4.06 +/- 0.54,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3069
5344,8.1 +/- 1.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3070
5345,0.961 +/- 0.023,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3071
5346,0.013 +/- 0.005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3075
5347,0.022 +/- 0.010,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3076
5348,0.58 +/- 0.21,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3079
5349,0.58 +/- 0.21,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3106
5350,0.231 +/- 0.054,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3107
5351,1.42 +/- 0.42,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3109
5352,1.07 +/- 0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3110
5353,1.37 +/- 0.53,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3111
5354,3.87 +/- 0.62,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3112
5355,3.87 +/- 0.62,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3113
5356,2.82 +/- 0.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3114
5357,1.65 +/- 0.17,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3115
5358,1.65 +/- 0.17,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3116
5359,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3117
5360,0.69 +/- 0.19,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3118
5361,1.24 +/- 0.33,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3119
5362,4.06 +/- 0.54,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3120
5363,8.1 +/- 1.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3121
5364,8.1 +/- 1.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3122
5365,5.28 +/- 0.65,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3123
5366,5.28 +/- 0.65,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3124
5367,0.961 +/- 0.023,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3125
5368,0.003,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3126
5369,0.013 +/- 0.005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3127
5370,0.022 +/- 0.010,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3128
5371,0.94 +/- 0.11,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3129
5372,1.61 +/- 0.20,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3130
5373,1.61 +/- 0.20,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3131
5374,1.137 +/- 0.073,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3132
5375,0.231 +/- 0.054,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3135
5376,0.032 +/- 0.009,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3136
5377,1.07 +/- 0.14,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3138
5378,0.415 +/- 0.069,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3139
5379,3.87 +/- 0.62,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3140
5380,2.82 +/- 0.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3141
5381,2.82 +/- 0.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3142
5382,1.65 +/- 0.17,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3143
5383,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3144
5384,0.173 +/- 0.081,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3145
5385,1.24 +/- 0.33,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3147
5386,4.06 +/- 0.54,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3148
5387,8.1 +/- 1.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3149
5388,5.28 +/- 0.65,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-3150
