,Value(uM),Subject Age,Subject Sex,Subject Information
5370,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5371,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5372,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5373,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5374,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5375,0.231 +/- 0.054,Adult (>18 years old),Both,Normal
5376,0.032 +/- 0.009,Adult (>18 years old),Both,Normal
5377,1.07 +/- 0.14,Adult (>18 years old),Both,Normal
5378,0.415 +/- 0.069,Adult (>18 years old),Both,Normal
5379,3.87 +/- 0.62,Adult (>18 years old),Both,Normal
5380,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5381,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5382,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5383,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5384,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5385,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5386,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5387,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5388,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5389,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5390,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5391,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5392,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5393,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5394,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5395,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5396,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5397,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5398,1.42 +/- 0.42,Adult (>18 years old),Both,Normal
5399,1.07 +/- 0.14,Adult (>18 years old),Both,Normal
5400,1.37 +/- 0.53,Adult (>18 years old),Both,Normal
5401,3.87 +/- 0.62,Adult (>18 years old),Both,Normal
5402,0.69 +/- 0.19,Adult (>18 years old),Both,Normal
5403,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5404,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5405,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5406,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5407,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5408,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5409,0.003,Adult (>18 years old),Both,Normal
5410,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5411,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5412,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5413,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5414,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5415,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5416,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5417,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5418,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5419,1.07 +/- 0.14,Adult (>18 years old),Both,Normal
5420,0.415 +/- 0.069,Adult (>18 years old),Both,Normal
5421,3.87 +/- 0.62,Adult (>18 years old),Both,Normal
5422,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5423,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5424,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5425,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5426,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5427,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5428,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5429,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5430,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5431,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5432,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5433,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5434,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5435,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5436,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5437,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5438,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5439,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5440,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5441,1.07 +/- 0.14,Adult (>18 years old),Both,Normal
5442,0.415 +/- 0.069,Adult (>18 years old),Both,Normal
5443,3.87 +/- 0.62,Adult (>18 years old),Both,Normal
5444,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5445,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5446,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5447,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5448,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5449,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5450,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5451,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5452,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5453,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5454,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5455,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5456,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5457,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5458,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5459,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5460,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5461,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5462,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5463,0.415 +/- 0.069,Adult (>18 years old),Both,Normal
5464,0.060 +/- 0.024,Adult (>18 years old),Both,Normal
5465,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5466,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5467,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5468,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5469,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5470,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5471,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5472,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5473,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5474,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5475,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5476,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5477,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5478,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5479,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5480,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5481,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5482,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5483,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5484,0.060 +/- 0.024,Adult (>18 years old),Both,Normal
5485,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5486,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5487,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5488,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5489,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5490,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5491,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5492,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5493,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5494,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5495,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5496,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5497,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5498,0.060 +/- 0.024,Adult (>18 years old),Both,Normal
5499,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5500,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5501,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5502,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5503,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5504,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5505,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5506,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5507,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5508,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5509,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5510,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5511,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5512,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5513,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5514,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5515,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5516,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5517,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5518,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5519,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5520,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5521,1.37 +/- 0.53,Adult (>18 years old),Both,Normal
5522,3.87 +/- 0.62,Adult (>18 years old),Both,Normal
5523,0.69 +/- 0.19,Adult (>18 years old),Both,Normal
5524,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5525,0.003,Adult (>18 years old),Both,Normal
5526,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5527,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5528,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5529,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5530,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5531,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5532,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5533,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5534,3.87 +/- 0.62,Adult (>18 years old),Both,Normal
5535,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5536,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5537,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5538,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5539,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5540,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5541,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5542,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5543,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5544,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5545,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5546,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5547,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5548,2.82 +/- 0.36,Adult (>18 years old),Both,Normal
5549,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5550,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5551,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5552,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5553,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5554,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5555,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5556,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5557,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5558,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5559,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5560,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5561,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5562,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5563,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5564,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5565,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5566,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5567,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5568,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5569,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5570,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5571,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5572,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5573,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5574,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5575,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5576,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5577,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5578,1.65 +/- 0.17,Adult (>18 years old),Both,Normal
5579,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5580,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5581,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5582,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5583,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5584,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5585,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5586,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5587,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5588,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5589,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5590,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5591,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5592,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5593,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5594,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5595,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5596,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5597,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5598,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5599,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5600,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5601,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5602,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5603,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5604,0.173 +/- 0.081,Adult (>18 years old),Both,Normal
5605,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5606,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5607,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5608,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5609,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5610,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5611,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5612,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5613,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5614,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5615,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5616,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5617,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5618,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5619,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5620,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5621,0.69 +/- 0.19,Adult (>18 years old),Both,Normal
5622,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5623,0.003,Adult (>18 years old),Both,Normal
5624,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5625,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5626,1.24 +/- 0.33,Adult (>18 years old),Both,Normal
5627,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5628,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5629,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5630,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5631,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5632,4.06 +/- 0.54,Adult (>18 years old),Both,Normal
5633,8.1 +/- 1.0,Adult (>18 years old),Both,Normal
5634,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5635,0.28 +/- 0.02,Adult (>18 years old),Both,Normal
5636,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5637,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5638,5.28 +/- 0.65,Adult (>18 years old),Both,Normal
5639,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5640,0.94 +/- 0.11,Adult (>18 years old),Both,Normal
5641,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5642,0.036 +/- 0.004,Adult (>18 years old),Both,Normal
5643,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5644,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5645,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5646,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5647,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5648,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5649,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5650,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5651,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5652,0.961 +/- 0.023,Adult (>18 years old),Both,Normal
5653,1.61 +/- 0.20,Adult (>18 years old),Both,Normal
5654,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5655,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5656,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5657,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5658,1.137 +/- 0.073,Adult (>18 years old),Both,Normal
5659,0.254 +/- 0.032,Adult (>18 years old),Both,Normal
5660,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5661,0.310 +/- 0.068,Adult (>18 years old),Both,Normal
5662,0.003,Adult (>18 years old),Both,Normal
5663,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5664,0.013 +/- 0.005,Adult (>18 years old),Both,Normal
5665,0.022 +/- 0.010,Adult (>18 years old),Both,Normal
5666,0.147 +/- 0.012,Adult (>18 years old),Both,Normal
5667,0.147 +/- 0.012,Adult (>18 years old),Both,Normal
5668,0.144 +/- 0.015,Adult (>18 years old),Both,Normal
5669,0.223 +/- 0.047,Adult (>18 years old),Both,Normal
5670,0.223 +/- 0.047,Adult (>18 years old),Both,Normal
5671,0.223 +/- 0.047,Adult (>18 years old),Both,Normal
5672,0.223 +/- 0.047,Adult (>18 years old),Both,Normal
5673,0.223 +/- 0.047,Adult (>18 years old),Both,Normal
5674,0.80-5.80,Adult (>18 years old),Both,Normal
5675,2.26 (0.33-4.11),Adolescent (13-18 years old),Both,Normal
5676,1.0-8.9,Adult (>18 years old),Both,Normal
5677,2.95 (2.53-3.44),Newborn (0-30 days old),,Normal
5678,5.12(2.19),Adult (>18 years old),Both,Normal
5679,2.99 (2.39-3.84),Infant (0-1 year old),,Normal
5680,4.73 +/- 1.65,Adult (>18 years old),Both,Normal
5681,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
5682,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
5683,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
5684,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
5685,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5686,3.50-55.0,Adult (>18 years old),Both,Normal
5687,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5688,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5689,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5690,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5691,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5692,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5693,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5694,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5695,1.00-13.0,Adult (>18 years old),Both,Normal
5696,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5697,5.75(3.77),Adult (>18 years old),Both,Normal
5698,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5699,0.49 +/- 0.12,Adult (>18 years old),Both,Normal
5700,0.20-1.40,Adult (>18 years old),Both,Normal
5701,0.23 (0.19-0.29),Newborn (0-30 days old),,Normal
5702,0.83(0.35),Adult (>18 years old),Both,Normal
5703,0.38 (0.31-0.45),Infant (0-1 year old),,Normal
5704,0.49 +/- 0.12,Adult (>18 years old),Both,Normal
5705,0.23 (0.19-0.29),Newborn (0-30 days old),,Normal
5706,0.83(0.35),Adult (>18 years old),Both,Normal
5707,0.38 (0.31-0.45),Infant (0-1 year old),,Normal
5708,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5709,70.00-383.0,Adult (>18 years old),Both,Normal
5710,105 (91.8-119),Newborn (0-30 days old),,Normal
5711,173 (145-199),Infant (0-1 year old),,Normal
5712,240.0-670.0,Adult (>18 years old),Both,Normal
5713,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5714,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5715,409.32(87.37),Adult (>18 years old),Both,Normal
5716,315 (269-369),Infant (0-1 year old),,Normal
5717,9.00-41.0,Adult (>18 years old),Both,Normal
5718,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
5719,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5720,25.87(9.06),Adult (>18 years old),Both,Normal
5721,11 (8.46-13.9),Infant (0-1 year old),,Normal
5722,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
5723,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5724,25.87(9.06),Adult (>18 years old),Both,Normal
5725,11 (8.46-13.9),Infant (0-1 year old),,Normal
5726,0.75-4.50,Adult (>18 years old),Both,Normal
5727,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
5728,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
5729,2.76(1.13),Adult (>18 years old),Both,Normal
5730,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
5731,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
5732,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
5733,2.76(1.13),Adult (>18 years old),Both,Normal
5734,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
5735,1.00-11.0,Adult (>18 years old),Both,Normal
5736,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
5737,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
5738,3.14(1.2),Adult (>18 years old),Both,Normal
5739,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
5740,20.00-100.0,Adult (>18 years old),Both,Normal
5741,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
5742,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
5743,60.62(19.39),Adult (>18 years old),Both,Normal
5744,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
5745,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
5746,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
5747,267.03(66.1),Adult (>18 years old),Both,Normal
5748,212 (183-244),Infant (0-1 year old),,Normal
5749,90.00-320.0,Adult (>18 years old),Both,Normal
5750,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
5751,135 (118-151),Newborn (0-30 days old),,Normal
5752,228.74(50.69),Adult (>18 years old),Both,Normal
5753,130 (111-150),Infant (0-1 year old),,Normal
5754,10.0-95.0,Adult (>18 years old),Both,Normal
5755,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
5756,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
5757,46.61(21.41),Adult (>18 years old),Both,Normal
5758,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
5759,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
5760,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
5761,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
5762,46.61(21.41),Adult (>18 years old),Both,Normal
5763,1.16 +/- 0.47,Adult (>18 years old),Both,Normal
5764,0.4 (0.3-0.54),Infant (0-1 year old),,Normal
5765,1.7(0.84),Adult (>18 years old),Both,Normal
5766,0.20-3.50,Adult (>18 years old),Both,Normal
5767,0.31 (0.26-0.37),Newborn (0-30 days old),,Normal
5768,2.21 (1.85-2.71),Infant (0-1 year old),,Normal
5769,3.48 +/- 0.95,Adult (>18 years old),Both,Normal
5770,1.00-10.0,Adult (>18 years old),Both,Normal
5771,1.46 (1.21-1.76),Newborn (0-30 days old),,Normal
5772,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
5773,0.080-2.100,Adult (>18 years old),Both,Normal
5774,2.99 (2.39-3.84),Infant (0-1 year old),,Normal
5775,5.12(2.19),Adult (>18 years old),Both,Normal
5776,2.26 (0.33-4.11),Adolescent (13-18 years old),Both,Normal
5777,2.95 (2.53-3.44),Newborn (0-30 days old),,Normal
5778,4.73 +/- 1.65,Adult (>18 years old),Both,Normal
5779,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
5780,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
5781,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
5782,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
5783,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5784,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5785,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5786,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5787,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5788,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5789,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5790,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5791,2.16 (1.79-2.64),Infant (0-1 year old),,Normal
5792,3.87(1.01),Adult (>18 years old),Both,Normal
5793,0.88 (0.76-1.06),Newborn (0-30 days old),,Normal
5794,3.04 +/- 0.81,Adult (>18 years old),Both,Normal
5795,0.0000-0.0060,Adult (>18 years old),Both,Normal
5796,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5797,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5798,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5799,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5800,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5801,5.75(3.77),Adult (>18 years old),Both,Normal
5802,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5803,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5804,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5805,5.75(3.77),Adult (>18 years old),Both,Normal
5806,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5807,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5808,0.38 (0.31-0.45),Infant (0-1 year old),,Normal
5809,0.83(0.35),Adult (>18 years old),Both,Normal
5810,0.49 +/- 0.12,Adult (>18 years old),Both,Normal
