,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
9522,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54498
9523,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54499
9524,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54500
9525,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54501
9526,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54502
9527,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54503
9528,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54504
9529,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54505
9530,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54506
9531,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54507
9532,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54508
9533,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54509
9534,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54510
9535,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54511
9536,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54512
9537,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54513
9538,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54514
9539,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54515
9540,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54516
9541,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54517
9542,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54518
9543,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54519
9544,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54520
9545,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54521
9546,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54522
9547,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54523
9548,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54524
9549,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54525
9550,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54526
9551,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54527
9552,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54528
9553,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54529
9554,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54530
9555,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54531
9556,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54532
9557,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54533
9558,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54534
9559,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54535
9560,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54536
9561,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54537
9562,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54538
9563,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54539
9564,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54540
9565,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54541
9566,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54542
9567,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54543
9568,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54544
9569,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54545
9570,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54546
9571,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54547
9572,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54548
9573,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54549
9574,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54550
9575,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54551
9576,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54552
9577,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54553
9578,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54554
9579,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54555
9580,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54556
9581,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54557
9582,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54558
9583,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54559
9584,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54560
9585,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54561
9586,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54562
9587,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54563
9588,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54564
9589,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54565
9590,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54566
9591,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54567
9592,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54568
9593,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54569
9594,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54570
9595,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54571
9596,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54572
9597,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54573
9598,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54574
9599,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54575
9600,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54576
9601,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54577
9602,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54578
9603,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54579
9604,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54580
9605,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54581
9606,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54582
9607,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54583
9608,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54584
9609,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54585
9610,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54586
9611,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54587
9612,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54588
9613,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54589
9614,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54590
9615,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54591
9616,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54592
9617,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54593
9618,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54594
9619,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54595
9620,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54596
9621,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54597
9622,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54598
9623,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54599
9624,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54600
9625,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54601
9626,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54602
9627,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54603
9628,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54604
9629,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54605
9630,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54606
9631,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54607
9632,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54608
9633,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54609
9634,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54610
9635,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54611
9636,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54612
9637,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54613
9638,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54614
9639,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54615
9640,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54616
9641,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54617
9642,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54618
9643,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54619
9644,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54620
9645,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54621
9646,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54622
9647,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54623
9648,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54624
9649,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54625
9650,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54626
9651,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54627
9652,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54628
9653,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54629
9654,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54630
9655,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54631
9656,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54632
9657,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54633
9658,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54634
9659,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54635
9660,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54636
9661,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54637
9662,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54638
9663,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54639
9664,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54640
9665,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54641
9666,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54642
9667,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54643
9668,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54644
9669,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54645
9670,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54646
9671,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54647
9672,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54648
9673,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54649
9674,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54650
9675,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54651
9676,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54652
9677,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54653
9678,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54654
9679,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54655
9680,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54656
9681,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54657
9682,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54658
9683,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54659
9684,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54660
9685,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54661
9686,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54662
9687,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54663
9688,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54664
9689,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54665
9690,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54666
9691,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54667
9692,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54668
9693,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54669
9694,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54670
9695,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54671
9696,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54672
9697,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54673
9698,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54674
9699,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54675
9700,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54676
9701,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54677
9702,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54678
9703,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54679
9704,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54680
9705,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54681
9706,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54682
9707,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54683
9708,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54684
9709,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54685
9710,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54686
9711,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54687
9712,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54688
9713,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54689
9714,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54690
9715,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54691
9716,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54692
9717,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54693
9718,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54694
9719,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54695
9720,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54696
9721,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54697
9722,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54698
9723,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54699
9724,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54700
9725,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54701
9726,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54702
9727,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54703
9728,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54704
9729,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54705
9730,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54706
9731,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54707
9732,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54708
9733,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54709
9734,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54710
9735,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54711
9736,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54712
9737,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54713
9738,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54714
9739,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54715
9740,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54716
9741,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54717
9742,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54718
9743,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54719
9744,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54720
9745,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54721
9746,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54722
9747,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54723
9748,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54724
9749,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54725
9750,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54726
9751,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54727
9752,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54728
9753,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54729
9754,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54730
9755,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54731
9756,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54732
9757,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54733
9758,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54734
9759,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54735
9760,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54736
9761,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54737
9762,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54738
9763,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54739
9764,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54740
9765,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54741
9766,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54742
9767,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54743
9768,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54744
9769,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54745
9770,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54746
9771,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54747
9772,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54748
9773,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54749
9774,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54750
9775,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54751
9776,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54752
9777,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54753
9778,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54754
9779,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54755
9780,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54756
9781,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54757
9782,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54758
9783,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54759
9784,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54760
9785,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54761
9786,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54762
9787,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54763
9788,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54764
9789,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54765
9790,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54766
9791,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54767
9792,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54768
9793,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54769
9794,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54770
9795,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54771
9796,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54772
9797,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54773
9798,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54774
9799,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54775
9800,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54776
9801,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54777
9802,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54778
9803,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54779
9804,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54780
9805,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54781
9806,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54782
9807,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54783
9808,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54784
9809,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54785
9810,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54786
9811,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54787
9812,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54788
9813,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54789
9814,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54790
9815,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54791
9816,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54792
9817,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54793
9818,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54794
9819,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54795
9820,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54796
9821,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54797
9822,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54798
9823,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54799
9824,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54800
9825,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54801
9826,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54802
9827,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54803
9828,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54804
9829,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54805
9830,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54806
9831,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54807
9832,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54808
9833,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54809
9834,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54810
9835,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54811
9836,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54812
9837,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54813
9838,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54814
9839,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54815
9840,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54816
9841,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54817
9842,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54818
9843,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54819
9844,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54820
9845,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54821
9846,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54822
9847,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54823
9848,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54824
9849,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54825
9850,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54826
9851,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54827
9852,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54828
9853,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54829
9854,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54830
9855,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54831
9856,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54832
9857,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54833
9858,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54834
9859,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54835
9860,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54836
9861,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54837
