,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
12378,,Children (1-13 years old),Both,Barth Syndrome,None
12379,,Children (1-13 years old),Both,Barth Syndrome,None
12380,,Children (1-13 years old),Both,Barth Syndrome,None
12381,,Children (1-13 years old),Both,Barth Syndrome,None
12382,,Children (1-13 years old),Both,Barth Syndrome,None
12383,,Children (1-13 years old),Both,Barth Syndrome,None
12384,,Children (1-13 years old),Both,Barth Syndrome,None
12385,,Children (1-13 years old),Both,Barth Syndrome,None
12386,,Children (1-13 years old),Both,Barth Syndrome,None
12387,,Children (1-13 years old),Both,Barth Syndrome,None
12388,,Children (1-13 years old),Both,Barth Syndrome,None
12389,,Children (1-13 years old),Both,Barth Syndrome,None
12390,,Children (1-13 years old),Both,Barth Syndrome,None
12391,,Children (1-13 years old),Both,Barth Syndrome,None
12392,,Children (1-13 years old),Both,Barth Syndrome,None
12393,,Children (1-13 years old),Both,Barth Syndrome,None
12394,,Children (1-13 years old),Both,Barth Syndrome,None
12395,,Children (1-13 years old),Both,Barth Syndrome,None
12396,,Children (1-13 years old),Both,Barth Syndrome,None
12397,,Children (1-13 years old),Both,Barth Syndrome,None
12398,,Children (1-13 years old),Both,Barth Syndrome,None
12399,,Children (1-13 years old),Both,Barth Syndrome,None
12400,,Children (1-13 years old),Both,Barth Syndrome,None
12401,,Children (1-13 years old),Both,Barth Syndrome,None
12402,,Children (1-13 years old),Both,Barth Syndrome,None
12403,,Children (1-13 years old),Both,Barth Syndrome,None
12404,,Children (1-13 years old),Both,Barth Syndrome,None
12405,,Children (1-13 years old),Both,Barth Syndrome,None
12406,,Children (1-13 years old),Both,Barth Syndrome,None
12407,,Children (1-13 years old),Both,Barth Syndrome,None
12408,,Children (1-13 years old),Both,Barth Syndrome,None
12409,,Children (1-13 years old),Both,Barth Syndrome,None
12410,,Children (1-13 years old),Both,Barth Syndrome,None
12411,,Children (1-13 years old),Both,Barth Syndrome,None
12412,,Children (1-13 years old),Both,Barth Syndrome,None
12413,,Children (1-13 years old),Both,Barth Syndrome,None
12414,,Children (1-13 years old),Both,Barth Syndrome,None
12415,,Children (1-13 years old),Both,Barth Syndrome,None
12416,,Children (1-13 years old),Both,Barth Syndrome,None
12417,,Children (1-13 years old),Both,Barth Syndrome,None
12418,,Children (1-13 years old),Both,Barth Syndrome,None
12419,,Children (1-13 years old),Both,Barth Syndrome,None
12420,,Children (1-13 years old),Both,Barth Syndrome,None
12421,,Children (1-13 years old),Both,Barth Syndrome,None
12422,,Children (1-13 years old),Both,Barth Syndrome,None
12423,,Children (1-13 years old),Both,Barth Syndrome,None
12424,,Children (1-13 years old),Both,Barth Syndrome,None
12425,,Children (1-13 years old),Both,Barth Syndrome,None
12426,,Children (1-13 years old),Both,Barth Syndrome,None
12427,,Children (1-13 years old),Both,Barth Syndrome,None
12428,,Children (1-13 years old),Both,Barth Syndrome,None
12429,,Children (1-13 years old),Both,Barth Syndrome,None
12430,,Children (1-13 years old),Both,Barth Syndrome,None
12431,,Children (1-13 years old),Both,Barth Syndrome,None
12432,,Children (1-13 years old),Both,Barth Syndrome,None
12433,,Children (1-13 years old),Both,Barth Syndrome,None
12434,,Children (1-13 years old),Both,Barth Syndrome,None
12435,,Children (1-13 years old),Both,Barth Syndrome,None
12436,,Children (1-13 years old),Both,Barth Syndrome,None
12437,,Children (1-13 years old),Both,Barth Syndrome,None
12438,,Children (1-13 years old),Both,Barth Syndrome,None
12439,,Children (1-13 years old),Both,Barth Syndrome,None
12440,,Children (1-13 years old),Both,Barth Syndrome,None
12441,,Children (1-13 years old),Both,Barth Syndrome,None
12442,,Children (1-13 years old),Both,Barth Syndrome,None
12443,,Children (1-13 years old),Both,Barth Syndrome,None
12444,,Children (1-13 years old),Both,Barth Syndrome,None
12445,,Children (1-13 years old),Both,Barth Syndrome,None
12446,,Children (1-13 years old),Both,Barth Syndrome,None
12447,,Children (1-13 years old),Both,Barth Syndrome,None
12448,,Children (1-13 years old),Both,Barth Syndrome,None
12449,,Children (1-13 years old),Both,Barth Syndrome,None
12450,,Children (1-13 years old),Both,Barth Syndrome,None
12451,,Children (1-13 years old),Both,Barth Syndrome,None
12452,,Children (1-13 years old),Both,Barth Syndrome,None
12453,,Children (1-13 years old),Both,Barth Syndrome,None
12454,,Children (1-13 years old),Both,Barth Syndrome,None
12455,,Children (1-13 years old),Both,Barth Syndrome,None
12456,,Children (1-13 years old),Both,Barth Syndrome,None
12457,,Children (1-13 years old),Both,Barth Syndrome,None
12458,,Children (1-13 years old),Both,Barth Syndrome,None
12459,,Children (1-13 years old),Both,Barth Syndrome,None
12460,,Children (1-13 years old),Both,Barth Syndrome,None
12461,,Children (1-13 years old),Both,Barth Syndrome,None
12462,,Children (1-13 years old),Both,Barth Syndrome,None
12463,,Children (1-13 years old),Both,Barth Syndrome,None
12464,,Children (1-13 years old),Both,Barth Syndrome,None
12465,,Children (1-13 years old),Both,Barth Syndrome,None
12466,,Children (1-13 years old),Both,Barth Syndrome,None
12467,,Children (1-13 years old),Both,Barth Syndrome,None
12468,,Children (1-13 years old),Both,Barth Syndrome,None
12469,,Children (1-13 years old),Both,Barth Syndrome,None
12470,,Children (1-13 years old),Both,Barth Syndrome,None
12471,,Children (1-13 years old),Both,Barth Syndrome,None
12472,,Children (1-13 years old),Both,Barth Syndrome,None
12473,,Children (1-13 years old),Both,Barth Syndrome,None
12474,,Children (1-13 years old),Both,Barth Syndrome,None
12475,,Children (1-13 years old),Both,Barth Syndrome,None
12476,,Children (1-13 years old),Both,Barth Syndrome,None
12477,,Children (1-13 years old),Both,Barth Syndrome,None
12478,,Children (1-13 years old),Both,Barth Syndrome,None
12479,,Children (1-13 years old),Both,Barth Syndrome,None
12480,,Children (1-13 years old),Both,Barth Syndrome,None
12481,,Children (1-13 years old),Both,Barth Syndrome,None
12482,,Children (1-13 years old),Both,Barth Syndrome,None
12483,,Children (1-13 years old),Both,Barth Syndrome,None
12484,,Children (1-13 years old),Both,Barth Syndrome,None
12485,,Children (1-13 years old),Both,Barth Syndrome,None
12486,,Children (1-13 years old),Both,Barth Syndrome,None
12487,,Children (1-13 years old),Both,Barth Syndrome,None
12488,,Children (1-13 years old),Both,Barth Syndrome,None
12489,,Children (1-13 years old),Both,Barth Syndrome,None
12490,,Children (1-13 years old),Both,Barth Syndrome,None
12491,,Children (1-13 years old),Both,Barth Syndrome,None
12492,,Children (1-13 years old),Both,Barth Syndrome,None
12493,,Children (1-13 years old),Both,Barth Syndrome,None
12494,,Children (1-13 years old),Both,Barth Syndrome,None
12495,,Children (1-13 years old),Both,Barth Syndrome,None
12496,,Children (1-13 years old),Both,Barth Syndrome,None
12497,,Children (1-13 years old),Both,Barth Syndrome,None
12498,,Children (1-13 years old),Both,Barth Syndrome,None
12499,,Children (1-13 years old),Both,Barth Syndrome,None
12500,,Children (1-13 years old),Both,Barth Syndrome,None
12501,,Children (1-13 years old),Both,Barth Syndrome,None
12502,,Children (1-13 years old),Both,Barth Syndrome,None
12503,,Children (1-13 years old),Both,Barth Syndrome,None
12504,,Children (1-13 years old),Both,Barth Syndrome,None
12505,,Children (1-13 years old),Both,Barth Syndrome,None
12506,,Children (1-13 years old),Both,Barth Syndrome,None
12507,,Children (1-13 years old),Both,Barth Syndrome,None
12508,,Children (1-13 years old),Both,Barth Syndrome,None
12509,,Children (1-13 years old),Both,Barth Syndrome,None
12510,,Children (1-13 years old),Both,Barth Syndrome,None
12511,,Children (1-13 years old),Both,Barth Syndrome,None
12512,,Children (1-13 years old),Both,Barth Syndrome,None
12513,,Children (1-13 years old),Both,Barth Syndrome,None
12514,,Children (1-13 years old),Both,Barth Syndrome,None
12515,,Children (1-13 years old),Both,Barth Syndrome,None
12516,,Children (1-13 years old),Both,Barth Syndrome,None
12517,,Children (1-13 years old),Both,Barth Syndrome,None
12518,,Children (1-13 years old),Both,Barth Syndrome,None
12519,,Children (1-13 years old),Both,Barth Syndrome,None
12520,,Children (1-13 years old),Both,Barth Syndrome,None
12521,,Children (1-13 years old),Both,Barth Syndrome,None
12522,,Children (1-13 years old),Both,Barth Syndrome,None
12523,,Children (1-13 years old),Both,Barth Syndrome,None
12524,,Children (1-13 years old),Both,Barth Syndrome,None
12525,,Children (1-13 years old),Both,Barth Syndrome,None
12526,,Children (1-13 years old),Both,Barth Syndrome,None
12527,,Children (1-13 years old),Both,Barth Syndrome,None
12528,,Children (1-13 years old),Both,Barth Syndrome,None
12529,,Children (1-13 years old),Both,Barth Syndrome,None
12530,,Children (1-13 years old),Both,Barth Syndrome,None
12531,,Children (1-13 years old),Both,Barth Syndrome,None
12532,,Children (1-13 years old),Both,Barth Syndrome,None
12533,,Children (1-13 years old),Both,Barth Syndrome,None
12534,,Children (1-13 years old),Both,Barth Syndrome,None
12535,,Children (1-13 years old),Both,Barth Syndrome,None
12536,,Children (1-13 years old),Both,Barth Syndrome,None
12537,,Children (1-13 years old),Both,Barth Syndrome,None
12538,,Children (1-13 years old),Both,Barth Syndrome,None
12539,,Children (1-13 years old),Both,Barth Syndrome,None
12540,,Children (1-13 years old),Both,Barth Syndrome,None
12541,,Children (1-13 years old),Both,Barth Syndrome,None
12542,,Children (1-13 years old),Both,Barth Syndrome,None
12543,,Children (1-13 years old),Both,Barth Syndrome,None
12544,,Children (1-13 years old),Both,Barth Syndrome,None
12545,,Children (1-13 years old),Both,Barth Syndrome,None
12546,,Children (1-13 years old),Both,Barth Syndrome,None
12547,,Children (1-13 years old),Both,Barth Syndrome,None
12548,,Children (1-13 years old),Both,Barth Syndrome,None
12549,,Children (1-13 years old),Both,Barth Syndrome,None
12550,,Children (1-13 years old),Both,Barth Syndrome,None
12551,,Children (1-13 years old),Both,Barth Syndrome,None
12552,,Children (1-13 years old),Both,Barth Syndrome,None
12553,,Children (1-13 years old),Both,Barth Syndrome,None
12554,,Children (1-13 years old),Both,Barth Syndrome,None
12555,,Children (1-13 years old),Both,Barth Syndrome,None
12556,,Children (1-13 years old),Both,Barth Syndrome,None
12557,,Children (1-13 years old),Both,Barth Syndrome,None
12558,,Children (1-13 years old),Both,Barth Syndrome,None
12559,,Children (1-13 years old),Both,Barth Syndrome,None
12560,,Children (1-13 years old),Both,Barth Syndrome,None
12561,,Children (1-13 years old),Both,Barth Syndrome,None
12562,,Children (1-13 years old),Both,Barth Syndrome,None
12563,,Children (1-13 years old),Both,Barth Syndrome,None
12564,,Children (1-13 years old),Both,Barth Syndrome,None
12565,,Children (1-13 years old),Both,Barth Syndrome,None
12566,,Children (1-13 years old),Both,Barth Syndrome,None
12567,,Children (1-13 years old),Both,Barth Syndrome,None
12568,,Children (1-13 years old),Both,Barth Syndrome,None
12569,,Children (1-13 years old),Both,Barth Syndrome,None
12570,,Children (1-13 years old),Both,Barth Syndrome,None
12571,,Children (1-13 years old),Both,Barth Syndrome,None
12572,,Children (1-13 years old),Both,Barth Syndrome,None
12573,,Children (1-13 years old),Both,Barth Syndrome,None
12574,,Children (1-13 years old),Both,Barth Syndrome,None
12575,,Children (1-13 years old),Both,Barth Syndrome,None
12576,,Children (1-13 years old),Both,Barth Syndrome,None
12577,,Children (1-13 years old),Both,Barth Syndrome,None
12578,,Children (1-13 years old),Both,Barth Syndrome,None
12579,,Children (1-13 years old),Both,Barth Syndrome,None
12580,,Children (1-13 years old),Both,Barth Syndrome,None
12581,,Children (1-13 years old),Both,Barth Syndrome,None
12582,,Children (1-13 years old),Both,Barth Syndrome,None
12583,,Children (1-13 years old),Both,Barth Syndrome,None
12584,,Children (1-13 years old),Both,Barth Syndrome,None
12585,,Children (1-13 years old),Both,Barth Syndrome,None
12586,,Children (1-13 years old),Both,Barth Syndrome,None
12587,,Children (1-13 years old),Both,Barth Syndrome,None
12588,,Children (1-13 years old),Both,Barth Syndrome,None
12589,,Children (1-13 years old),Both,Barth Syndrome,None
12590,,Children (1-13 years old),Both,Barth Syndrome,None
12591,,Children (1-13 years old),Both,Barth Syndrome,None
12592,,Children (1-13 years old),Both,Barth Syndrome,None
12593,,Children (1-13 years old),Both,Barth Syndrome,None
12594,,Children (1-13 years old),Both,Barth Syndrome,None
12595,,Children (1-13 years old),Both,Barth Syndrome,None
12596,,Children (1-13 years old),Both,Barth Syndrome,None
12597,,Children (1-13 years old),Both,Barth Syndrome,None
12598,,Children (1-13 years old),Both,Barth Syndrome,None
12599,,Children (1-13 years old),Both,Barth Syndrome,None
12600,,Children (1-13 years old),Both,Barth Syndrome,None
12601,,Children (1-13 years old),Both,Barth Syndrome,None
12602,,Children (1-13 years old),Both,Barth Syndrome,None
12603,,Children (1-13 years old),Both,Barth Syndrome,None
12604,,Children (1-13 years old),Both,Barth Syndrome,None
12605,,Children (1-13 years old),Both,Barth Syndrome,None
12606,,Children (1-13 years old),Both,Barth Syndrome,None
12607,,Children (1-13 years old),Both,Barth Syndrome,None
12608,,Children (1-13 years old),Both,Barth Syndrome,None
12609,,Children (1-13 years old),Both,Barth Syndrome,None
12610,,Children (1-13 years old),Both,Barth Syndrome,None
12611,,Children (1-13 years old),Both,Barth Syndrome,None
12612,,Children (1-13 years old),Both,Barth Syndrome,None
12613,,Children (1-13 years old),Both,Barth Syndrome,None
12614,,Children (1-13 years old),Both,Barth Syndrome,None
12615,,Children (1-13 years old),Both,Barth Syndrome,None
12616,,Children (1-13 years old),Both,Barth Syndrome,None
12617,,Children (1-13 years old),Both,Barth Syndrome,None
12618,,Children (1-13 years old),Both,Barth Syndrome,None
12619,,Children (1-13 years old),Both,Barth Syndrome,None
12620,,Children (1-13 years old),Both,Barth Syndrome,None
12621,,Children (1-13 years old),Both,Barth Syndrome,None
12622,,Children (1-13 years old),Both,Barth Syndrome,None
12623,,Children (1-13 years old),Both,Barth Syndrome,None
12624,,Children (1-13 years old),Both,Barth Syndrome,None
12625,,Children (1-13 years old),Both,Barth Syndrome,None
12626,,Children (1-13 years old),Both,Barth Syndrome,None
12627,,Children (1-13 years old),Both,Barth Syndrome,None
12628,,Children (1-13 years old),Both,Barth Syndrome,None
12629,,Children (1-13 years old),Both,Barth Syndrome,None
12630,,Children (1-13 years old),Both,Barth Syndrome,None
12631,,Children (1-13 years old),Both,Barth Syndrome,None
12632,,Children (1-13 years old),Both,Barth Syndrome,None
12633,,Children (1-13 years old),Both,Barth Syndrome,None
12634,,Children (1-13 years old),Both,Barth Syndrome,None
12635,,Children (1-13 years old),Both,Barth Syndrome,None
12636,,Children (1-13 years old),Both,Barth Syndrome,None
12637,,Children (1-13 years old),Both,Barth Syndrome,None
12638,,Children (1-13 years old),Both,Barth Syndrome,None
12639,,Children (1-13 years old),Both,Barth Syndrome,None
12640,,Children (1-13 years old),Both,Barth Syndrome,None
12641,,Children (1-13 years old),Both,Barth Syndrome,None
12642,,Children (1-13 years old),Both,Barth Syndrome,None
12643,,Children (1-13 years old),Both,Barth Syndrome,None
12644,,Children (1-13 years old),Both,Barth Syndrome,None
12645,,Children (1-13 years old),Both,Barth Syndrome,None
12646,,Children (1-13 years old),Both,Barth Syndrome,None
12647,,Children (1-13 years old),Both,Barth Syndrome,None
12648,,Children (1-13 years old),Both,Barth Syndrome,None
12649,,Children (1-13 years old),Both,Barth Syndrome,None
12650,,Children (1-13 years old),Both,Barth Syndrome,None
12651,,Children (1-13 years old),Both,Barth Syndrome,None
12652,,Children (1-13 years old),Both,Barth Syndrome,None
12653,,Children (1-13 years old),Both,Barth Syndrome,None
12654,,Children (1-13 years old),Both,Barth Syndrome,None
12655,,Children (1-13 years old),Both,Barth Syndrome,None
12656,,Children (1-13 years old),Both,Barth Syndrome,None
12657,,Children (1-13 years old),Both,Barth Syndrome,None
12658,,Children (1-13 years old),Both,Barth Syndrome,None
12659,,Children (1-13 years old),Both,Barth Syndrome,None
12660,,Children (1-13 years old),Both,Barth Syndrome,None
12661,,Children (1-13 years old),Both,Barth Syndrome,None
12662,,Children (1-13 years old),Both,Barth Syndrome,None
12663,,Children (1-13 years old),Both,Barth Syndrome,None
12664,,Children (1-13 years old),Both,Barth Syndrome,None
12665,,Children (1-13 years old),Both,Barth Syndrome,None
12666,,Children (1-13 years old),Both,Barth Syndrome,None
12667,,Children (1-13 years old),Both,Barth Syndrome,None
12668,,Children (1-13 years old),Both,Barth Syndrome,None
12669,,Children (1-13 years old),Both,Barth Syndrome,None
12670,,Children (1-13 years old),Both,Barth Syndrome,None
12671,,Children (1-13 years old),Both,Barth Syndrome,None
12672,,Children (1-13 years old),Both,Barth Syndrome,None
12673,,Children (1-13 years old),Both,Barth Syndrome,None
12674,,Children (1-13 years old),Both,Barth Syndrome,None
12675,,Children (1-13 years old),Both,Barth Syndrome,None
12676,,Children (1-13 years old),Both,Barth Syndrome,None
12677,,Children (1-13 years old),Both,Barth Syndrome,None
12678,,Children (1-13 years old),Both,Barth Syndrome,None
12679,,Children (1-13 years old),Both,Barth Syndrome,None
12680,,Children (1-13 years old),Both,Barth Syndrome,None
12681,,Children (1-13 years old),Both,Barth Syndrome,None
12682,,Children (1-13 years old),Both,Barth Syndrome,None
12683,,Children (1-13 years old),Both,Barth Syndrome,None
12684,,Children (1-13 years old),Both,Barth Syndrome,None
12685,,Children (1-13 years old),Both,Barth Syndrome,None
12686,,Children (1-13 years old),Both,Barth Syndrome,None
12687,,Children (1-13 years old),Both,Barth Syndrome,None
12688,,Children (1-13 years old),Both,Barth Syndrome,None
12689,,Children (1-13 years old),Both,Barth Syndrome,None
12690,,Children (1-13 years old),Both,Barth Syndrome,None
12691,,Children (1-13 years old),Both,Barth Syndrome,None
12692,,Children (1-13 years old),Both,Barth Syndrome,None
12693,,Children (1-13 years old),Both,Barth Syndrome,None
12694,,Children (1-13 years old),Both,Barth Syndrome,None
12695,,Children (1-13 years old),Both,Barth Syndrome,None
12696,,Children (1-13 years old),Both,Barth Syndrome,None
12697,,Children (1-13 years old),Both,Barth Syndrome,None
12698,,Children (1-13 years old),Both,Barth Syndrome,None
12699,,Children (1-13 years old),Both,Barth Syndrome,None
12700,,Children (1-13 years old),Both,Barth Syndrome,None
12701,,Children (1-13 years old),Both,Barth Syndrome,None
12702,,Children (1-13 years old),Both,Barth Syndrome,None
12703,,Children (1-13 years old),Both,Barth Syndrome,None
12704,,Children (1-13 years old),Both,Barth Syndrome,None
12705,,Children (1-13 years old),Both,Barth Syndrome,None
12706,,Children (1-13 years old),Both,Barth Syndrome,None
12707,,Children (1-13 years old),Both,Barth Syndrome,None
12708,,Children (1-13 years old),Both,Barth Syndrome,None
12709,,Children (1-13 years old),Both,Barth Syndrome,None
12710,,Children (1-13 years old),Both,Barth Syndrome,None
12711,,Children (1-13 years old),Both,Barth Syndrome,None
12712,,Children (1-13 years old),Both,Barth Syndrome,None
12713,,Children (1-13 years old),Both,Barth Syndrome,None
12714,,Children (1-13 years old),Both,Barth Syndrome,None
12715,,Children (1-13 years old),Both,Barth Syndrome,None
12716,,Children (1-13 years old),Both,Barth Syndrome,None
12717,,Children (1-13 years old),Both,Barth Syndrome,None
12718,,Children (1-13 years old),Both,Barth Syndrome,None
12719,,Children (1-13 years old),Both,Barth Syndrome,None
12720,,Children (1-13 years old),Both,Barth Syndrome,None
12721,,Children (1-13 years old),Both,Barth Syndrome,None
12722,,Children (1-13 years old),Both,Barth Syndrome,None
12723,,Children (1-13 years old),Both,Barth Syndrome,None
12724,,Children (1-13 years old),Both,Barth Syndrome,None
12725,,Children (1-13 years old),Both,Barth Syndrome,None
12726,,Children (1-13 years old),Both,Barth Syndrome,None
12727,,Children (1-13 years old),Both,Barth Syndrome,None
12728,,Children (1-13 years old),Both,Barth Syndrome,None
12729,,Children (1-13 years old),Both,Barth Syndrome,None
12730,,Children (1-13 years old),Both,Barth Syndrome,None
12731,,Children (1-13 years old),Both,Barth Syndrome,None
12732,,Children (1-13 years old),Both,Barth Syndrome,None
12733,,Children (1-13 years old),Both,Barth Syndrome,None
12734,,Children (1-13 years old),Both,Barth Syndrome,None
12735,,Children (1-13 years old),Both,Barth Syndrome,None
12736,,Children (1-13 years old),Both,Barth Syndrome,None
12737,,Children (1-13 years old),Both,Barth Syndrome,None
12738,,Children (1-13 years old),Both,Barth Syndrome,None
12739,,Children (1-13 years old),Both,Barth Syndrome,None
12740,,Children (1-13 years old),Both,Barth Syndrome,None
12741,,Children (1-13 years old),Both,Barth Syndrome,None
12742,,Children (1-13 years old),Both,Barth Syndrome,None
12743,,Children (1-13 years old),Both,Barth Syndrome,None
12744,,Children (1-13 years old),Both,Barth Syndrome,None
12745,,Children (1-13 years old),Both,Barth Syndrome,None
12746,,Children (1-13 years old),Both,Barth Syndrome,None
12747,,Children (1-13 years old),Both,Barth Syndrome,None
12748,,Children (1-13 years old),Both,Barth Syndrome,None
12749,,Children (1-13 years old),Both,Barth Syndrome,None
12750,,Children (1-13 years old),Both,Barth Syndrome,None
12751,,Children (1-13 years old),Both,Barth Syndrome,None
12752,,Children (1-13 years old),Both,Barth Syndrome,None
12753,,Children (1-13 years old),Both,Barth Syndrome,None
12754,,Children (1-13 years old),Both,Barth Syndrome,None
12755,,Children (1-13 years old),Both,Barth Syndrome,None
12756,,Children (1-13 years old),Both,Barth Syndrome,None
12757,,Children (1-13 years old),Both,Barth Syndrome,None
12758,,Children (1-13 years old),Both,Barth Syndrome,None
12759,,Children (1-13 years old),Both,Barth Syndrome,None
12760,,Children (1-13 years old),Both,Barth Syndrome,None
12761,,Children (1-13 years old),Both,Barth Syndrome,None
12762,,Children (1-13 years old),Both,Barth Syndrome,None
12763,,Children (1-13 years old),Both,Barth Syndrome,None
12764,,Children (1-13 years old),Both,Barth Syndrome,None
12765,,Children (1-13 years old),Both,Barth Syndrome,None
12766,,Children (1-13 years old),Both,Barth Syndrome,None
12767,,Children (1-13 years old),Both,Barth Syndrome,None
12768,,Children (1-13 years old),Both,Barth Syndrome,None
12769,,Children (1-13 years old),Both,Barth Syndrome,None
12770,,Children (1-13 years old),Both,Barth Syndrome,None
12771,,Children (1-13 years old),Both,Barth Syndrome,None
12772,,Children (1-13 years old),Both,Barth Syndrome,None
12773,,Children (1-13 years old),Both,Barth Syndrome,None
12774,,Children (1-13 years old),Both,Barth Syndrome,None
12775,,Children (1-13 years old),Both,Barth Syndrome,None
12776,,Children (1-13 years old),Both,Barth Syndrome,None
12777,,Children (1-13 years old),Both,Barth Syndrome,None
12778,,Children (1-13 years old),Both,Barth Syndrome,None
12779,,Children (1-13 years old),Both,Barth Syndrome,None
12780,,Children (1-13 years old),Both,Barth Syndrome,None
12781,,Children (1-13 years old),Both,Barth Syndrome,None
12782,,Children (1-13 years old),Both,Barth Syndrome,None
12783,,Children (1-13 years old),Both,Barth Syndrome,None
12784,,Children (1-13 years old),Both,Barth Syndrome,None
12785,,Children (1-13 years old),Both,Barth Syndrome,None
12786,,Children (1-13 years old),Both,Barth Syndrome,None
12787,,Children (1-13 years old),Both,Barth Syndrome,None
12788,,Children (1-13 years old),Both,Barth Syndrome,None
12789,,Children (1-13 years old),Both,Barth Syndrome,None
12790,,Children (1-13 years old),Both,Barth Syndrome,None
12791,,Children (1-13 years old),Both,Barth Syndrome,None
12792,,Children (1-13 years old),Both,Barth Syndrome,None
12793,,Children (1-13 years old),Both,Barth Syndrome,None
12794,,Children (1-13 years old),Both,Barth Syndrome,None
12795,,Children (1-13 years old),Both,Barth Syndrome,None
12796,,Children (1-13 years old),Both,Barth Syndrome,None
12797,,Children (1-13 years old),Both,Barth Syndrome,None
12798,,Children (1-13 years old),Both,Barth Syndrome,None
12799,,Children (1-13 years old),Both,Barth Syndrome,None
12800,,Children (1-13 years old),Both,Barth Syndrome,None
12801,,Children (1-13 years old),Both,Barth Syndrome,None
12802,,Children (1-13 years old),Both,Barth Syndrome,None
12803,,Children (1-13 years old),Both,Barth Syndrome,None
12804,,Children (1-13 years old),Both,Barth Syndrome,None
12805,,Children (1-13 years old),Both,Barth Syndrome,None
12806,,Children (1-13 years old),Both,Barth Syndrome,None
12807,,Children (1-13 years old),Both,Barth Syndrome,None
12808,,Children (1-13 years old),Both,Barth Syndrome,None
12809,,Children (1-13 years old),Both,Barth Syndrome,None
12810,,Children (1-13 years old),Both,Barth Syndrome,None
12811,,Children (1-13 years old),Both,Barth Syndrome,None
12812,,Children (1-13 years old),Both,Barth Syndrome,None
12813,,Children (1-13 years old),Both,Barth Syndrome,None
12814,,Children (1-13 years old),Both,Barth Syndrome,None
12815,,Children (1-13 years old),Both,Barth Syndrome,None
12816,,Children (1-13 years old),Both,Barth Syndrome,None
12817,,Children (1-13 years old),Both,Barth Syndrome,None
12818,,Children (1-13 years old),Both,Barth Syndrome,None
12819,,Children (1-13 years old),Both,Barth Syndrome,None
12820,,Children (1-13 years old),Both,Barth Syndrome,None
12821,,Children (1-13 years old),Both,Barth Syndrome,None
12822,,Children (1-13 years old),Both,Barth Syndrome,None
12823,,Children (1-13 years old),Both,Barth Syndrome,None
12824,,Children (1-13 years old),Both,Barth Syndrome,None
12825,,Children (1-13 years old),Both,Barth Syndrome,None
12826,,Children (1-13 years old),Both,Barth Syndrome,None
12827,,Children (1-13 years old),Both,Barth Syndrome,None
12828,,Children (1-13 years old),Both,Barth Syndrome,None
12829,,Children (1-13 years old),Both,Barth Syndrome,None
12830,,Children (1-13 years old),Both,Barth Syndrome,None
12831,,Children (1-13 years old),Both,Barth Syndrome,None
12832,,Children (1-13 years old),Both,Barth Syndrome,None
12833,,Children (1-13 years old),Both,Barth Syndrome,None
12834,,Children (1-13 years old),Both,Barth Syndrome,None
12835,,Children (1-13 years old),Both,Barth Syndrome,None
12836,,Children (1-13 years old),Both,Barth Syndrome,None
12837,,Children (1-13 years old),Both,Barth Syndrome,None
12838,,Children (1-13 years old),Both,Barth Syndrome,None
12839,,Children (1-13 years old),Both,Barth Syndrome,None
12840,,Children (1-13 years old),Both,Barth Syndrome,None
12841,,Children (1-13 years old),Both,Barth Syndrome,None
12842,,Children (1-13 years old),Both,Barth Syndrome,None
12843,,Children (1-13 years old),Both,Barth Syndrome,None
12844,,Children (1-13 years old),Both,Barth Syndrome,None
12845,,Children (1-13 years old),Both,Barth Syndrome,None
12846,,Children (1-13 years old),Both,Barth Syndrome,None
12847,,Children (1-13 years old),Both,Barth Syndrome,None
12848,,Children (1-13 years old),Both,Barth Syndrome,None
12849,,Children (1-13 years old),Both,Barth Syndrome,None
12850,,Children (1-13 years old),Both,Barth Syndrome,None
12851,,Children (1-13 years old),Both,Barth Syndrome,None
12852,,Children (1-13 years old),Both,Barth Syndrome,None
12853,,Children (1-13 years old),Both,Barth Syndrome,None
12854,,Children (1-13 years old),Both,Barth Syndrome,None
12855,,Children (1-13 years old),Both,Barth Syndrome,None
12856,,Children (1-13 years old),Both,Barth Syndrome,None
12857,,Children (1-13 years old),Both,Barth Syndrome,None
12858,,Children (1-13 years old),Both,Barth Syndrome,None
12859,,Children (1-13 years old),Both,Barth Syndrome,None
12860,,Children (1-13 years old),Both,Barth Syndrome,None
12861,,Children (1-13 years old),Both,Barth Syndrome,None
12862,,Children (1-13 years old),Both,Barth Syndrome,None
12863,,Children (1-13 years old),Both,Barth Syndrome,None
12864,,Children (1-13 years old),Both,Barth Syndrome,None
12865,,Children (1-13 years old),Both,Barth Syndrome,None
12866,,Children (1-13 years old),Both,Barth Syndrome,None
12867,,Children (1-13 years old),Both,Barth Syndrome,None
12868,,Children (1-13 years old),Both,Barth Syndrome,None
12869,,Children (1-13 years old),Both,Barth Syndrome,None
12870,,Children (1-13 years old),Both,Barth Syndrome,None
12871,,Children (1-13 years old),Both,Barth Syndrome,None
12872,,Children (1-13 years old),Both,Barth Syndrome,None
12873,,Children (1-13 years old),Both,Barth Syndrome,None
12874,,Children (1-13 years old),Both,Barth Syndrome,None
12875,,Children (1-13 years old),Both,Barth Syndrome,None
