,Name,Accession,Patient Sex,min_age,max_age,min_range,max_range,Disease
4945,"PC(20:2(11Z,14Z)/20:1(11Z))",HMDB0008341,Both,13,18,0.36,1.25,Pain or fever
4946,"PC(20:2(11Z,14Z)/20:1(11Z))",HMDB0008341,Both,13,18,0.28,0.58,Acetaminophen overdose
4947,"PC(20:2(11Z,14Z)/20:1(11Z))",HMDB0008341,Both,1,13,0.33399999999999996,0.674,Obesity
4948,"PC(20:2(11Z,14Z)/20:1(11Z))",HMDB0008341,Both,1,13,0.384,0.7060000000000001,Obesity
4949,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,Both,18,64,2.0600000000000005,4.84,Heart failure with preserved ejection fraction
4950,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,Female,18,64,0.3597999999999999,5.4508,Pregnancy with fetus having congenital heart defect
4951,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,Female,18,64,3.2209000000000003,6.6943,Pregnancy
4952,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,Both,1,13,2.34,4.9,Obesity
4953,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",HMDB0008342,Both,1,13,2.99,6.01,Obesity
4954,"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008343,Both,18,64,6.819999999999999,16.06,Heart failure with preserved ejection fraction
4955,"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008343,Female,18,64,1.0,14.7838,Pregnancy with fetus having congenital heart defect
4956,"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008343,Both,1,13,5.359999999999999,12.3,Obesity
4957,"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008343,Both,1,13,7.029999999999999,15.51,Obesity
4958,"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008344,Both,18,64,6.819999999999999,16.06,Heart failure with preserved ejection fraction
4959,"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008344,Female,18,64,1.0,14.7838,Pregnancy with fetus having congenital heart defect
4960,"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008344,Both,1,13,5.359999999999999,12.3,Obesity
4961,"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008344,Both,1,13,7.029999999999999,15.51,Obesity
4962,"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,Both,1,13,11.2,26.8,Obesity
4963,"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,Both,1,13,14.5,34.5,Obesity
4964,"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,Both,18,64,20.509999999999998,41.57,Heart failure with preserved ejection fraction
4965,"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,Female,18,64,2.5040000000000013,53.554,Pregnancy with fetus having congenital heart defect
4966,"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,Female,18,64,37.617,71.33500000000001,Pregnancy
4967,"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,Both,1,13,11.2,26.8,Obesity
4968,"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,Both,1,13,14.5,34.5,Obesity
4969,"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,Both,18,64,20.509999999999998,41.57,Heart failure with preserved ejection fraction
4970,"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,Female,18,64,2.5040000000000013,53.554,Pregnancy with fetus having congenital heart defect
4971,"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,Female,18,64,37.617,71.33500000000001,Pregnancy
4972,"PC(20:2(11Z,14Z)/22:0)",HMDB0008348,Both,1,13,0.099,0.231,Obesity
4973,"PC(20:2(11Z,14Z)/22:0)",HMDB0008348,Both,1,13,0.10400000000000001,0.23600000000000002,Obesity
4974,"PC(20:2(11Z,14Z)/22:0)",HMDB0008348,Female,18,64,-0.00019999999999997797,0.4592,Pregnancy with fetus having congenital heart defect
4975,"PC(20:2(11Z,14Z)/22:0)",HMDB0008348,Female,18,64,0.2156,0.42000000000000004,Pregnancy
4976,"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,Both,1,13,0.11299999999999999,0.23099999999999998,Obesity
4977,"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,Both,1,13,0.125,0.245,Obesity
4978,"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,Female,18,64,0.010099999999999998,0.4289,Pregnancy with fetus having congenital heart defect
4979,"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",HMDB0008350,Female,18,64,0.2122,0.37220000000000003,Pregnancy
4980,"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008351,Both,18,64,0.5399999999999999,0.88,Heart failure with preserved ejection fraction
4981,"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008351,Female,18,64,0.4861,1.3811,Pregnancy with fetus having congenital heart defect
4982,"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008351,Female,18,64,0.8502000000000001,1.4462000000000002,Pregnancy
4983,"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008351,Both,13,18,0.65,1.27,Pain or fever
4984,"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008351,Both,13,18,0.39,0.89,Acetaminophen overdose
4985,"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,Both,1,13,142.7,242.7,Obesity
4986,"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,Both,1,13,165.2,302.0,Obesity
4987,"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,Both,18,64,161.61,279.89,Heart failure with preserved ejection fraction
4988,"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,Female,18,64,14.967000000000013,296.379,Pregnancy with fetus having congenital heart defect
4989,"PC(20:2(11Z,14Z)/P-16:0)",HMDB0008357,Female,18,64,204.498,353.53799999999995,Pregnancy
4990,"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,Both,1,13,29.3,57.7,Obesity
4991,"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,Both,1,13,36.400000000000006,75.8,Obesity
4992,"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,Both,18,64,34.870000000000005,73.17,Heart failure with preserved ejection fraction
4993,"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,Female,18,64,3.9469999999999956,74.755,Pregnancy with fetus having congenital heart defect
4994,"PC(20:2(11Z,14Z)/P-18:1(11Z))",HMDB0008359,Female,18,64,45.449,90.247,Pregnancy
4995,"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,Both,1,13,29.3,57.7,Obesity
4996,"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,Both,1,13,36.400000000000006,75.8,Obesity
4997,"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,Both,18,64,34.870000000000005,73.17,Heart failure with preserved ejection fraction
4998,"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,Female,18,64,3.9469999999999956,74.755,Pregnancy with fetus having congenital heart defect
4999,"PC(20:2(11Z,14Z)/P-18:1(9Z))",HMDB0008360,Female,18,64,45.449,90.247,Pregnancy
5000,"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,Both,1,13,8.399999999999999,18.0,Obesity
5001,"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,Both,1,13,11.400000000000002,20.8,Obesity
5002,"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,Both,18,64,13.77,26.31,Heart failure with preserved ejection fraction
5003,"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,Female,18,64,1.4960000000000004,27.880000000000003,Pregnancy with fetus having congenital heart defect
5004,"PC(20:3(5Z,8Z,11Z)/14:0)",HMDB0008361,Female,18,64,15.910999999999998,37.498999999999995,Pregnancy
5005,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,Both,1,13,0.7899999999999999,2.01,Obesity
5006,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,Both,1,13,1.15,2.33,Obesity
5007,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,Both,18,64,1.2199999999999998,2.84,Heart failure with preserved ejection fraction
5008,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,Both,18,64,1.31,2.43,Heart failure with reduced ejection fraction
5009,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,Female,18,64,0.17169999999999996,2.9883,Pregnancy with fetus having congenital heart defect
5010,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,Female,18,64,1.6978,4.1558,Pregnancy
5011,"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,Both,1,13,75.7,141.3,Obesity
5012,"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,Both,1,13,92.5,171.7,Obesity
5013,"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,Both,18,64,99.9,177.92,Heart failure with preserved ejection fraction
5014,"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,Female,18,64,10.686000000000007,202.614,Pregnancy with fetus having congenital heart defect
5015,"PC(20:3(5Z,8Z,11Z)/16:0)",HMDB0008364,Female,18,64,122.08699999999999,255.515,Pregnancy
5016,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,Both,1,13,99.0,178.2,Obesity
5017,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,Both,1,13,115.6,202.6,Obesity
5018,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,Both,18,64,141.04000000000002,238.0,Heart failure with preserved ejection fraction
5019,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,Both,18,64,153.98000000000002,217.82,Heart failure with reduced ejection fraction
5020,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,Female,18,64,17.611999999999995,260.64599999999996,Pregnancy with fetus having congenital heart defect
5021,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",HMDB0008365,Female,18,64,190.437,330.64300000000003,Pregnancy
5022,"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,Both,1,13,29.3,57.7,Obesity
5023,"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,Both,1,13,36.400000000000006,75.8,Obesity
5024,"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,Both,18,64,34.870000000000005,73.17,Heart failure with preserved ejection fraction
5025,"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,Female,18,64,3.9469999999999956,74.755,Pregnancy with fetus having congenital heart defect
5026,"PC(20:3(5Z,8Z,11Z)/18:0)",HMDB0008366,Female,18,64,45.449,90.247,Pregnancy
5027,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,Both,1,13,59.5,116.5,Obesity
5028,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,Both,1,13,72.5,135.1,Obesity
5029,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,Both,18,64,92.95,161.01,Heart failure with preserved ejection fraction
5030,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,Female,18,64,11.831000000000003,141.39100000000002,Pregnancy with fetus having congenital heart defect
5031,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",HMDB0008367,Female,18,64,103.443,178.817,Pregnancy
5032,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,Both,1,13,59.5,116.5,Obesity
5033,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,Both,1,13,72.5,135.1,Obesity
5034,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,Both,18,64,92.95,161.01,Heart failure with preserved ejection fraction
5035,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,Female,18,64,11.831000000000003,141.39100000000002,Pregnancy with fetus having congenital heart defect
5036,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",HMDB0008368,Female,18,64,103.443,178.817,Pregnancy
5037,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,Both,1,13,26.699999999999996,52.9,Obesity
5038,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,Both,1,13,33.3,63.7,Obesity
5039,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,Both,18,64,48.31999999999999,89.34,Heart failure with preserved ejection fraction
5040,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,Both,18,64,58.29,86.09,Heart failure with reduced ejection fraction
5041,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,Female,18,64,5.853999999999999,75.042,Pregnancy with fetus having congenital heart defect
5042,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",HMDB0008369,Female,18,64,55.044999999999995,98.905,Pregnancy
5043,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,Both,1,13,31.9,71.9,Obesity
5044,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,Both,1,13,38.8,82.2,Obesity
5045,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,Both,18,64,57.529999999999994,113.94999999999999,Heart failure with preserved ejection fraction
5046,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,Both,18,64,53.82000000000001,104.58,Heart failure with reduced ejection fraction
5047,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,Female,18,64,6.422999999999988,174.711,Pregnancy with fetus having congenital heart defect
5048,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,Female,18,64,123.85300000000001,232.707,Pregnancy
5049,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,Both,1,13,31.9,71.9,Obesity
5050,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,Both,1,13,38.8,82.2,Obesity
5051,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,Both,18,64,57.529999999999994,113.94999999999999,Heart failure with preserved ejection fraction
5052,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,Both,18,64,53.82000000000001,104.58,Heart failure with reduced ejection fraction
5053,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,Female,18,64,6.422999999999988,174.711,Pregnancy with fetus having congenital heart defect
5054,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,Female,18,64,123.85300000000001,232.707,Pregnancy
5055,"PC(20:3(5Z,8Z,11Z)/20:0)",HMDB0008373,Both,1,13,0.33399999999999996,0.674,Obesity
5056,"PC(20:3(5Z,8Z,11Z)/20:0)",HMDB0008373,Both,1,13,0.384,0.7060000000000001,Obesity
5057,"PC(20:3(5Z,8Z,11Z)/20:0)",HMDB0008373,Both,13,18,0.36,1.25,Pain or fever
5058,"PC(20:3(5Z,8Z,11Z)/20:0)",HMDB0008373,Both,13,18,0.28,0.58,Acetaminophen overdose
5059,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,Both,1,13,2.34,4.9,Obesity
5060,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,Both,1,13,2.99,6.01,Obesity
5061,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,Both,18,64,2.0600000000000005,4.84,Heart failure with preserved ejection fraction
5062,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,Female,18,64,0.3597999999999999,5.4508,Pregnancy with fetus having congenital heart defect
5063,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",HMDB0008374,Female,18,64,3.2209000000000003,6.6943,Pregnancy
5064,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,Both,1,13,5.359999999999999,12.3,Obesity
5065,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,Both,1,13,7.029999999999999,15.51,Obesity
5066,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,Both,18,64,6.819999999999999,16.06,Heart failure with preserved ejection fraction
5067,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,Female,18,64,1.0,14.7838,Pregnancy with fetus having congenital heart defect
5068,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",HMDB0008375,Female,18,64,9.518999999999998,18.6356,Pregnancy
5069,"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,Both,1,13,11.2,26.8,Obesity
5070,"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,Both,1,13,14.5,34.5,Obesity
5071,"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,Both,18,64,20.509999999999998,41.57,Heart failure with preserved ejection fraction
5072,"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,Female,18,64,2.5040000000000013,53.554,Pregnancy with fetus having congenital heart defect
5073,"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,Female,18,64,37.617,71.33500000000001,Pregnancy
5074,"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,Both,1,13,11.2,26.8,Obesity
5075,"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,Both,1,13,14.5,34.5,Obesity
5076,"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,Both,18,64,20.509999999999998,41.57,Heart failure with preserved ejection fraction
5077,"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,Female,18,64,2.5040000000000013,53.554,Pregnancy with fetus having congenital heart defect
5078,"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,Female,18,64,37.617,71.33500000000001,Pregnancy
5079,"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,Both,1,13,0.11299999999999999,0.23099999999999998,Obesity
5080,"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,Both,1,13,0.125,0.245,Obesity
5081,"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,Female,18,64,0.010099999999999998,0.4289,Pregnancy with fetus having congenital heart defect
5082,"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",HMDB0008382,Female,18,64,0.2122,0.37220000000000003,Pregnancy
5083,"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,Both,1,13,0.21300000000000002,0.435,Obesity
5084,"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,Both,1,13,0.23700000000000002,0.529,Obesity
5085,"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,Both,18,64,0.26,0.5,Heart failure with preserved ejection fraction
5086,"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,Female,18,64,0.04550000000000004,0.9881,Pregnancy with fetus having congenital heart defect
5087,"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",HMDB0008383,Female,18,64,0.5574,1.0718,Pregnancy
5088,"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,Both,1,13,75.7,141.3,Obesity
5089,"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,Both,1,13,92.5,171.7,Obesity
5090,"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,Both,18,64,99.9,177.92,Heart failure with preserved ejection fraction
5091,"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,Female,18,64,10.686000000000007,202.614,Pregnancy with fetus having congenital heart defect
5092,"PC(20:3(5Z,8Z,11Z)/P-16:0)",HMDB0008390,Female,18,64,122.08699999999999,255.515,Pregnancy
5093,"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,Both,1,13,29.3,57.7,Obesity
5094,"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,Both,1,13,36.400000000000006,75.8,Obesity
5095,"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,Both,18,64,34.870000000000005,73.17,Heart failure with preserved ejection fraction
5096,"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,Female,18,64,3.9469999999999956,74.755,Pregnancy with fetus having congenital heart defect
5097,"PC(20:3(5Z,8Z,11Z)/P-18:0)",HMDB0008391,Female,18,64,45.449,90.247,Pregnancy
5098,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,Both,1,13,59.5,116.5,Obesity
5099,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,Both,1,13,72.5,135.1,Obesity
5100,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,Both,18,64,92.95,161.01,Heart failure with preserved ejection fraction
5101,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,Female,18,64,11.831000000000003,141.39100000000002,Pregnancy with fetus having congenital heart defect
5102,"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))",HMDB0008392,Female,18,64,103.443,178.817,Pregnancy
5103,"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,Both,1,13,59.5,116.5,Obesity
5104,"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,Both,1,13,72.5,135.1,Obesity
5105,"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,Both,18,64,92.95,161.01,Heart failure with preserved ejection fraction
5106,"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,Female,18,64,11.831000000000003,141.39100000000002,Pregnancy with fetus having congenital heart defect
5107,"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))",HMDB0008393,Female,18,64,103.443,178.817,Pregnancy
5108,"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,Both,1,13,8.399999999999999,18.0,Obesity
5109,"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,Both,1,13,11.400000000000002,20.8,Obesity
5110,"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,Both,18,64,13.77,26.31,Heart failure with preserved ejection fraction
5111,"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,Female,18,64,1.4960000000000004,27.880000000000003,Pregnancy with fetus having congenital heart defect
5112,"PC(20:3(8Z,11Z,14Z)/14:0)",HMDB0008394,Female,18,64,15.910999999999998,37.498999999999995,Pregnancy
5113,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,Both,1,13,0.7899999999999999,2.01,Obesity
5114,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,Both,1,13,1.15,2.33,Obesity
5115,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,Both,18,64,1.2199999999999998,2.84,Heart failure with preserved ejection fraction
5116,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,Both,18,64,1.31,2.43,Heart failure with reduced ejection fraction
5117,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,Female,18,64,0.17169999999999996,2.9883,Pregnancy with fetus having congenital heart defect
5118,"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,Female,18,64,1.6978,4.1558,Pregnancy
5119,"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,Both,1,13,75.7,141.3,Obesity
5120,"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,Both,1,13,92.5,171.7,Obesity
5121,"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,Both,18,64,99.9,177.92,Heart failure with preserved ejection fraction
5122,"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,Female,18,64,10.686000000000007,202.614,Pregnancy with fetus having congenital heart defect
5123,"PC(20:3(8Z,11Z,14Z)/16:0)",HMDB0008397,Female,18,64,122.08699999999999,255.515,Pregnancy
5124,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,Both,1,13,99.0,178.2,Obesity
5125,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,Both,1,13,115.6,202.6,Obesity
5126,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,Both,18,64,141.04000000000002,238.0,Heart failure with preserved ejection fraction
5127,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,Both,18,64,153.98000000000002,217.82,Heart failure with reduced ejection fraction
5128,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,Female,18,64,17.611999999999995,260.64599999999996,Pregnancy with fetus having congenital heart defect
5129,"PC(20:3(8Z,11Z,14Z)/16:1(9Z))",HMDB0008398,Female,18,64,190.437,330.64300000000003,Pregnancy
5130,"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,Both,1,13,29.3,57.7,Obesity
5131,"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,Both,1,13,36.400000000000006,75.8,Obesity
5132,"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,Both,18,64,34.870000000000005,73.17,Heart failure with preserved ejection fraction
5133,"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,Female,18,64,3.9469999999999956,74.755,Pregnancy with fetus having congenital heart defect
5134,"PC(20:3(8Z,11Z,14Z)/18:0)",HMDB0008399,Female,18,64,45.449,90.247,Pregnancy
5135,"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,Both,1,13,59.5,116.5,Obesity
5136,"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,Both,1,13,72.5,135.1,Obesity
5137,"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,Both,18,64,92.95,161.01,Heart failure with preserved ejection fraction
5138,"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,Female,18,64,11.831000000000003,141.39100000000002,Pregnancy with fetus having congenital heart defect
5139,"PC(20:3(8Z,11Z,14Z)/18:1(11Z))",HMDB0008400,Female,18,64,103.443,178.817,Pregnancy
5140,"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0008401,Both,1,13,59.5,116.5,Obesity
5141,"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0008401,Both,1,13,72.5,135.1,Obesity
5142,"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0008401,Both,18,64,92.95,161.01,Heart failure with preserved ejection fraction
5143,"PC(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0008401,Female,18,64,11.831000000000003,141.39100000000002,Pregnancy with fetus having congenital heart defect
