,Name,Accession,Value(uM),Subject Age,Subject Sex,Subject Information
5961,"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007991,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
5962,PC(16:0/24:1(15Z)),HMDB0007993,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
5963,PC(16:0/24:1(15Z)),HMDB0007993,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
5964,PC(16:0/24:1(15Z)),HMDB0007993,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
5965,PC(16:0/24:1(15Z)),HMDB0007993,0.40-1.20,Adult (>18 years old),Both,Normal
5966,PC(16:0/24:1(15Z)),HMDB0007993,0.44(0.12),Adult (>18 years old),Both,Normal
5967,PC(16:0/24:1(15Z)),HMDB0007993,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
5968,PC(16:0/P-16:0),HMDB0007994,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
5969,PC(16:0/P-16:0),HMDB0007994,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
5970,PC(16:0/P-16:0),HMDB0007994,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
5971,PC(16:0/P-16:0),HMDB0007994,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
5972,PC(16:0/P-18:1(11Z)),HMDB0007996,105 (91.8-119),Newborn (0-30 days old),,Normal
5973,PC(16:0/P-18:1(11Z)),HMDB0007996,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5974,PC(16:0/P-18:1(11Z)),HMDB0007996,173 (145-199),Infant (0-1 year old),,Normal
5975,PC(16:0/P-18:1(9Z)),HMDB0007997,105 (91.8-119),Newborn (0-30 days old),,Normal
5976,PC(16:0/P-18:1(9Z)),HMDB0007997,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5977,PC(16:0/P-18:1(9Z)),HMDB0007997,173 (145-199),Infant (0-1 year old),,Normal
5978,PC(16:1(9Z)/16:0),HMDB0008001,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5979,PC(16:1(9Z)/16:0),HMDB0008001,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5980,PC(16:1(9Z)/16:0),HMDB0008001,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5981,PC(16:1(9Z)/16:0),HMDB0008001,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5982,PC(16:1(9Z)/16:1(9Z)),HMDB0008002,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5983,PC(16:1(9Z)/16:1(9Z)),HMDB0008002,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5984,PC(16:1(9Z)/16:1(9Z)),HMDB0008002,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5985,PC(16:1(9Z)/16:1(9Z)),HMDB0008002,5.75(3.77),Adult (>18 years old),Both,Normal
5986,PC(16:1(9Z)/18:0),HMDB0008003,105 (91.8-119),Newborn (0-30 days old),,Normal
5987,PC(16:1(9Z)/18:0),HMDB0008003,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5988,PC(16:1(9Z)/18:0),HMDB0008003,173 (145-199),Infant (0-1 year old),,Normal
5989,PC(16:1(9Z)/18:1(11Z)),HMDB0008004,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5990,PC(16:1(9Z)/18:1(11Z)),HMDB0008004,315 (269-369),Infant (0-1 year old),,Normal
5991,PC(16:1(9Z)/18:1(11Z)),HMDB0008004,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5992,PC(16:1(9Z)/18:1(11Z)),HMDB0008004,409.32(87.37),Adult (>18 years old),Both,Normal
5993,PC(16:1(9Z)/18:1(9Z)),HMDB0008005,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5994,PC(16:1(9Z)/18:1(9Z)),HMDB0008005,315 (269-369),Infant (0-1 year old),,Normal
5995,PC(16:1(9Z)/18:1(9Z)),HMDB0008005,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5996,PC(16:1(9Z)/18:1(9Z)),HMDB0008005,409.32(87.37),Adult (>18 years old),Both,Normal
5997,"PC(16:1(9Z)/18:2(9Z,12Z))",HMDB0008006,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5998,"PC(16:1(9Z)/18:2(9Z,12Z))",HMDB0008006,11 (8.46-13.9),Infant (0-1 year old),,Normal
5999,"PC(16:1(9Z)/18:2(9Z,12Z))",HMDB0008006,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
6000,"PC(16:1(9Z)/18:2(9Z,12Z))",HMDB0008006,25.87(9.06),Adult (>18 years old),Both,Normal
6001,"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008007,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
6002,"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008007,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
6003,"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008007,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
6004,"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008007,2.76(1.13),Adult (>18 years old),Both,Normal
6005,"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008008,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
6006,"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008008,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
6007,"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008008,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
6008,"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008008,2.76(1.13),Adult (>18 years old),Both,Normal
6009,PC(16:1(9Z)/20:0),HMDB0008010,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6010,PC(16:1(9Z)/20:0),HMDB0008010,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6011,PC(16:1(9Z)/20:0),HMDB0008010,60.62(19.39),Adult (>18 years old),Both,Normal
6012,PC(16:1(9Z)/20:0),HMDB0008010,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6013,PC(16:1(9Z)/20:1(11Z)),HMDB0008011,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
6014,PC(16:1(9Z)/20:1(11Z)),HMDB0008011,212 (183-244),Infant (0-1 year old),,Normal
6015,PC(16:1(9Z)/20:1(11Z)),HMDB0008011,267.03(66.1),Adult (>18 years old),Both,Normal
6016,PC(16:1(9Z)/20:1(11Z)),HMDB0008011,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
6017,"PC(16:1(9Z)/20:2(11Z,14Z))",HMDB0008012,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
6018,"PC(16:1(9Z)/20:2(11Z,14Z))",HMDB0008012,106 (89.5-120),Infant (0-1 year old),,Normal
6019,"PC(16:1(9Z)/20:2(11Z,14Z))",HMDB0008012,165.5(44.39),Adult (>18 years old),Both,Normal
6020,"PC(16:1(9Z)/20:2(11Z,14Z))",HMDB0008012,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
6021,"PC(16:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0008013,135 (118-151),Newborn (0-30 days old),,Normal
6022,"PC(16:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0008013,130 (111-150),Infant (0-1 year old),,Normal
6023,"PC(16:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0008013,228.74(50.69),Adult (>18 years old),Both,Normal
6024,"PC(16:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0008013,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
6025,"PC(16:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0008014,135 (118-151),Newborn (0-30 days old),,Normal
6026,"PC(16:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0008014,130 (111-150),Infant (0-1 year old),,Normal
6027,"PC(16:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0008014,228.74(50.69),Adult (>18 years old),Both,Normal
6028,"PC(16:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0008014,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
6029,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008015,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
6030,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008015,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
6031,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008015,46.61(21.41),Adult (>18 years old),Both,Normal
6032,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008015,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
6033,"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008016,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
6034,"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008016,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
6035,"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008016,46.61(21.41),Adult (>18 years old),Both,Normal
6036,"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008016,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
6037,"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008017,1.16 +/- 0.47,Adult (>18 years old),Both,Normal
6038,"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008017,0.31 (0.26-0.37),Newborn (0-30 days old),,Normal
6039,"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008017,0.4 (0.3-0.54),Infant (0-1 year old),,Normal
6040,"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008017,1.7(0.84),Adult (>18 years old),Both,Normal
6041,PC(16:1(9Z)/22:0),HMDB0008018,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
6042,"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,36.1 (31-41.9),Newborn (0-30 days old),,Normal
6043,"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,47.3 +/- 11.3,Adult (>18 years old),Both,Normal
6044,"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,25.0-95.0,Adult (>18 years old),Both,Normal
6045,"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,32.8 (26.5-38.5),Infant (0-1 year old),,Normal
6046,"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,62.34(20.77),Adult (>18 years old),Both,Normal
6047,"PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008021,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
6048,"PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008021,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
6049,"PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008021,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
6050,"PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008021,81.9(19.68),Adult (>18 years old),Both,Normal
6051,"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008022,60.6 (50.1-72.9 ),Newborn (0-30 days old),,Normal
6052,"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008022,49.1 (37.8-60.8),Infant (0-1 year old),,Normal
6053,"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008022,103.41(31.68),Adult (>18 years old),Both,Normal
6054,"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008022,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
6055,"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008024,60.6 (50.1-72.9 ),Newborn (0-30 days old),,Normal
6056,"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008024,49.1 (37.8-60.8),Infant (0-1 year old),,Normal
6057,"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008024,103.41(31.68),Adult (>18 years old),Both,Normal
6058,"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008024,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
6059,PC(16:1(9Z)/24:0),HMDB0008025,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
6060,PC(16:1(9Z)/24:0),HMDB0008025,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
6061,PC(16:1(9Z)/24:0),HMDB0008025,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
6062,PC(16:1(9Z)/24:0),HMDB0008025,0.44(0.12),Adult (>18 years old),Both,Normal
6063,PC(16:1(9Z)/24:0),HMDB0008025,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
6064,PC(16:1(9Z)/24:1(15Z)),HMDB0008026,0.25 (0.2-0.37),Newborn (0-30 days old),,Normal
6065,PC(16:1(9Z)/24:1(15Z)),HMDB0008026,0.36 (0.05-1.88),Adolescent (13-18 years old),Both,Normal
6066,PC(16:1(9Z)/24:1(15Z)),HMDB0008026,0.10-1.20,Adult (>18 years old),Both,Normal
6067,PC(16:1(9Z)/24:1(15Z)),HMDB0008026,0.29 (0.25-0.35),Infant (0-1 year old),,Normal
6068,PC(16:1(9Z)/24:1(15Z)),HMDB0008026,0.32 +/- 0.12,Adult (>18 years old),Both,Normal
6069,PC(16:1(9Z)/P-16:0),HMDB0008027,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
6070,PC(16:1(9Z)/P-16:0),HMDB0008027,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
6071,PC(16:1(9Z)/P-16:0),HMDB0008027,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
6072,PC(16:1(9Z)/P-16:0),HMDB0008027,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
6073,PC(16:1(9Z)/P-18:0),HMDB0008028,105 (91.8-119),Newborn (0-30 days old),,Normal
6074,PC(16:1(9Z)/P-18:0),HMDB0008028,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
6075,PC(16:1(9Z)/P-18:0),HMDB0008028,173 (145-199),Infant (0-1 year old),,Normal
6076,PC(16:1(9Z)/P-18:1(11Z)),HMDB0008029,84.2 (71.2-101),Newborn (0-30 days old),,Normal
6077,PC(16:1(9Z)/P-18:1(11Z)),HMDB0008029,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
6078,PC(16:1(9Z)/P-18:1(11Z)),HMDB0008029,315 (269-369),Infant (0-1 year old),,Normal
6079,PC(16:1(9Z)/P-18:1(11Z)),HMDB0008029,409.32(87.37),Adult (>18 years old),Both,Normal
6080,PC(16:1(9Z)/P-18:1(9Z)),HMDB0008030,84.2 (71.2-101),Newborn (0-30 days old),,Normal
6081,PC(16:1(9Z)/P-18:1(9Z)),HMDB0008030,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
6082,PC(16:1(9Z)/P-18:1(9Z)),HMDB0008030,315 (269-369),Infant (0-1 year old),,Normal
6083,PC(16:1(9Z)/P-18:1(9Z)),HMDB0008030,409.32(87.37),Adult (>18 years old),Both,Normal
6084,PC(18:0/14:0),HMDB0008031,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
6085,PC(18:0/14:0),HMDB0008031,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
6086,PC(18:0/14:0),HMDB0008031,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
6087,PC(18:0/14:0),HMDB0008031,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
6088,PC(18:0/14:1(9Z)),HMDB0008032,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
6089,PC(18:0/14:1(9Z)),HMDB0008032,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
6090,PC(18:0/14:1(9Z)),HMDB0008032,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
6091,PC(18:0/14:1(9Z)),HMDB0008032,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
6092,PC(18:0/16:1(9Z)),HMDB0008035,105 (91.8-119),Newborn (0-30 days old),,Normal
6093,PC(18:0/16:1(9Z)),HMDB0008035,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
6094,PC(18:0/16:1(9Z)),HMDB0008035,173 (145-199),Infant (0-1 year old),,Normal
6095,PC(18:0/18:0),HMDB0008036,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
6096,PC(18:0/18:0),HMDB0008036,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
6097,PC(18:0/18:0),HMDB0008036,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
6098,PC(18:0/18:0),HMDB0008036,3.14(1.2),Adult (>18 years old),Both,Normal
6099,PC(18:0/18:1(11Z)),HMDB0008037,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6100,PC(18:0/18:1(11Z)),HMDB0008037,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6101,PC(18:0/18:1(11Z)),HMDB0008037,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6102,PC(18:0/18:1(11Z)),HMDB0008037,60.62(19.39),Adult (>18 years old),Both,Normal
6103,PC(18:0/18:1(9Z)),HMDB0008038,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6104,PC(18:0/18:1(9Z)),HMDB0008038,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6105,PC(18:0/18:1(9Z)),HMDB0008038,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6106,PC(18:0/18:1(9Z)),HMDB0008038,60.62(19.39),Adult (>18 years old),Both,Normal
6107,"PC(18:0/18:2(9Z,12Z))",HMDB0008039,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
6108,"PC(18:0/18:2(9Z,12Z))",HMDB0008039,212 (183-244),Infant (0-1 year old),,Normal
6109,"PC(18:0/18:2(9Z,12Z))",HMDB0008039,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
6110,"PC(18:0/18:2(9Z,12Z))",HMDB0008039,267.03(66.1),Adult (>18 years old),Both,Normal
6111,"PC(18:0/18:3(6Z,9Z,12Z))",HMDB0008040,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
6112,"PC(18:0/18:3(6Z,9Z,12Z))",HMDB0008040,106 (89.5-120),Infant (0-1 year old),,Normal
6113,"PC(18:0/18:3(6Z,9Z,12Z))",HMDB0008040,165.5(44.39),Adult (>18 years old),Both,Normal
6114,"PC(18:0/18:3(6Z,9Z,12Z))",HMDB0008040,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
6115,"PC(18:0/18:3(9Z,12Z,15Z))",HMDB0008041,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
6116,"PC(18:0/18:3(9Z,12Z,15Z))",HMDB0008041,106 (89.5-120),Infant (0-1 year old),,Normal
6117,"PC(18:0/18:3(9Z,12Z,15Z))",HMDB0008041,165.5(44.39),Adult (>18 years old),Both,Normal
6118,"PC(18:0/18:3(9Z,12Z,15Z))",HMDB0008041,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
6119,"PC(18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008042,135 (118-151),Newborn (0-30 days old),,Normal
6120,"PC(18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008042,130 (111-150),Infant (0-1 year old),,Normal
6121,"PC(18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008042,228.74(50.69),Adult (>18 years old),Both,Normal
6122,"PC(18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008042,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
6123,PC(18:0/20:0),HMDB0008043,3.48 +/- 0.95,Adult (>18 years old),Both,Normal
6124,PC(18:0/20:0),HMDB0008043,1.46 (1.21-1.76),Newborn (0-30 days old),,Normal
6125,PC(18:0/20:0),HMDB0008043,2.21 (1.85-2.71),Infant (0-1 year old),,Normal
6126,PC(18:0/20:1(11Z)),HMDB0008044,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
6127,"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,36.1 (31-41.9),Newborn (0-30 days old),,Normal
6128,"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,47.3 +/- 11.3,Adult (>18 years old),Both,Normal
6129,"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,32.8 (26.5-38.5),Infant (0-1 year old),,Normal
6130,"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,62.34(20.77),Adult (>18 years old),Both,Normal
6131,"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,36.1 (31-41.9),Newborn (0-30 days old),,Normal
6132,"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,47.3 +/- 11.3,Adult (>18 years old),Both,Normal
6133,"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,32.8 (26.5-38.5),Infant (0-1 year old),,Normal
6134,"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,62.34(20.77),Adult (>18 years old),Both,Normal
6135,"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,90.4 (78.8-104),Newborn (0-30 days old),,Normal
6136,"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,101.6 +/- 22.6,Adult (>18 years old),Both,Normal
6137,"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,76.6 (65.9-90.8),Infant (0-1 year old),,Normal
6138,"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,147.79(39.15),Adult (>18 years old),Both,Normal
6139,"PC(18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008049,90.4 (78.8-104),Newborn (0-30 days old),,Normal
6140,"PC(18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008049,101.6 +/- 22.6,Adult (>18 years old),Both,Normal
6141,"PC(18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008049,76.6 (65.9-90.8),Infant (0-1 year old),,Normal
6142,"PC(18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008049,147.79(39.15),Adult (>18 years old),Both,Normal
6143,"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008050,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
6144,"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008050,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
6145,"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008050,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
6146,"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008050,81.9(19.68),Adult (>18 years old),Both,Normal
6147,PC(18:0/22:1(13Z)),HMDB0008052,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
6148,PC(18:0/22:1(13Z)),HMDB0008052,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
6149,PC(18:0/22:1(13Z)),HMDB0008052,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
6150,PC(18:0/22:1(13Z)),HMDB0008052,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
6151,PC(18:0/22:1(13Z)),HMDB0008052,0.44(0.12),Adult (>18 years old),Both,Normal
6152,"PC(18:0/22:2(13Z,16Z))",HMDB0008053,0.25 (0.2-0.37),Newborn (0-30 days old),,Normal
6153,"PC(18:0/22:2(13Z,16Z))",HMDB0008053,0.36 (0.05-1.88),Adolescent (13-18 years old),Both,Normal
6154,"PC(18:0/22:2(13Z,16Z))",HMDB0008053,0.29 (0.25-0.35),Infant (0-1 year old),,Normal
6155,"PC(18:0/22:2(13Z,16Z))",HMDB0008053,0.32 +/- 0.12,Adult (>18 years old),Both,Normal
6156,"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,2.59 (2.16-3.19),Newborn (0-30 days old),,Normal
6157,"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,1.3-6.5,Adult (>18 years old),Both,Normal
6158,"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,3 (2.41-3.61),Infant (0-1 year old),,Normal
6159,"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,4.16(1.34),Adult (>18 years old),Both,Normal
6160,"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,3.15 +/- 0.74,Adult (>18 years old),Both,Normal
6161,"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,4.00-22.0,Adult (>18 years old),Both,Normal
6162,"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,4.13 (3.29-5.27),Newborn (0-30 days old),,Normal
6163,"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,7.6 (5.96-9.28),Infant (0-1 year old),,Normal
6164,"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,13.85(4.15),Adult (>18 years old),Both,Normal
6165,"PC(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008056,13.85(4.15),Adult (>18 years old),Both,Normal
6166,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,22.6 (17.7-28.7),Newborn (0-30 days old),,Normal
6167,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,7.00-90.0,Adult (>18 years old),Both,Normal
6168,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,17.4 (13.60-21.8),Infant (0-1 year old),,Normal
6169,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,36.08(11.41),Adult (>18 years old),Both,Normal
6170,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,27.8 +/- 8.8,Adult (>18 years old),Both,Normal
6171,PC(18:0/24:0),HMDB0008058,0.65 +/- 0.18,Adult (>18 years old),Both,Normal
6172,PC(18:0/24:0),HMDB0008058,0.45 (0.36-0.54),Newborn (0-30 days old),,Normal
6173,PC(18:0/24:0),HMDB0008058,0.10-1.90,Adult (>18 years old),Both,Normal
6174,PC(18:0/24:0),HMDB0008058,0.55 (0.47-0.65),Infant (0-1 year old),,Normal
6175,PC(18:0/24:1(15Z)),HMDB0008059,0.32 +/- 0.08,Adult (>18 years old),Both,Normal
6176,PC(18:0/24:1(15Z)),HMDB0008059,0.28 (0.22-0.34),Newborn (0-30 days old),,Normal
6177,PC(18:0/24:1(15Z)),HMDB0008059,0.20-1.20,Adult (>18 years old),Both,Normal
6178,PC(18:0/24:1(15Z)),HMDB0008059,0.27 (0.22-0.33),Infant (0-1 year old),,Normal
6179,PC(18:0/P-18:0),HMDB0008061,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
6180,PC(18:0/P-18:0),HMDB0008061,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
6181,PC(18:0/P-18:0),HMDB0008061,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
6182,PC(18:0/P-18:0),HMDB0008061,3.14(1.2),Adult (>18 years old),Both,Normal
6183,PC(18:0/P-18:1(11Z)),HMDB0008062,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6184,PC(18:0/P-18:1(11Z)),HMDB0008062,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6185,PC(18:0/P-18:1(11Z)),HMDB0008062,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
