,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
13503,CL(a-13:0/i-16:0/i-18:0/a-17:0)[rac],HMDB0079065,,Children (1-13 years old),Both,Barth Syndrome
13504,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/i-18:0)[rac]",HMDB0079066,,Children (1-13 years old),Both,Barth Syndrome
13505,"CL(i-13:0/i-16:0/i-18:0/18:2(9Z,11Z))",HMDB0079067,,Children (1-13 years old),Both,Barth Syndrome
13506,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/18:2(9Z,11Z))[rac]",HMDB0079068,,Children (1-13 years old),Both,Barth Syndrome
13507,CL(i-13:0/i-16:0/i-18:0/i-18:0),HMDB0079069,,Children (1-13 years old),Both,Barth Syndrome
13508,"CL(a-13:0/i-16:0/i-18:0/18:2(9Z,11Z))[rac]",HMDB0079070,,Children (1-13 years old),Both,Barth Syndrome
13509,CL(a-13:0/i-16:0/i-18:0/i-18:0)[rac],HMDB0079071,,Children (1-13 years old),Both,Barth Syndrome
13510,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/i-18:0)",HMDB0079072,,Children (1-13 years old),Both,Barth Syndrome
13511,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/18:2(9Z,11Z))",HMDB0079073,,Children (1-13 years old),Both,Barth Syndrome
13512,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/i-19:0)[rac]",HMDB0079074,,Children (1-13 years old),Both,Barth Syndrome
13513,CL(i-13:0/i-16:0/i-18:0/i-19:0),HMDB0079075,,Children (1-13 years old),Both,Barth Syndrome
13514,CL(a-13:0/i-16:0/i-18:0/i-19:0)[rac],HMDB0079076,,Children (1-13 years old),Both,Barth Syndrome
13515,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/i-19:0)",HMDB0079077,,Children (1-13 years old),Both,Barth Syndrome
13516,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/i-20:0)[rac]",HMDB0079078,,Children (1-13 years old),Both,Barth Syndrome
13517,CL(i-13:0/i-16:0/i-18:0/i-20:0),HMDB0079079,,Children (1-13 years old),Both,Barth Syndrome
13518,CL(a-13:0/i-16:0/i-18:0/i-20:0)[rac],HMDB0079080,,Children (1-13 years old),Both,Barth Syndrome
13519,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/i-20:0)",HMDB0079081,,Children (1-13 years old),Both,Barth Syndrome
13520,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/i-21:0)[rac]",HMDB0079082,,Children (1-13 years old),Both,Barth Syndrome
13521,CL(i-13:0/i-16:0/i-18:0/i-21:0),HMDB0079083,,Children (1-13 years old),Both,Barth Syndrome
13522,CL(a-13:0/i-16:0/i-18:0/i-21:0)[rac],HMDB0079084,,Children (1-13 years old),Both,Barth Syndrome
13523,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/i-21:0)",HMDB0079085,,Children (1-13 years old),Both,Barth Syndrome
13524,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/a-21:0)[rac]",HMDB0079086,,Children (1-13 years old),Both,Barth Syndrome
13525,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/a-21:0)[rac]",HMDB0079087,,Children (1-13 years old),Both,Barth Syndrome
13526,CL(i-13:0/i-16:0/i-18:0/a-21:0)[rac],HMDB0079088,,Children (1-13 years old),Both,Barth Syndrome
13527,CL(a-13:0/i-16:0/i-18:0/a-21:0)[rac],HMDB0079089,,Children (1-13 years old),Both,Barth Syndrome
13528,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/i-22:0)[rac]",HMDB0079090,,Children (1-13 years old),Both,Barth Syndrome
13529,CL(i-13:0/i-16:0/i-18:0/i-22:0),HMDB0079091,,Children (1-13 years old),Both,Barth Syndrome
13530,CL(a-13:0/i-16:0/i-18:0/i-22:0)[rac],HMDB0079092,,Children (1-13 years old),Both,Barth Syndrome
13531,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/i-22:0)",HMDB0079093,,Children (1-13 years old),Both,Barth Syndrome
13532,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/i-24:0)[rac]",HMDB0079094,,Children (1-13 years old),Both,Barth Syndrome
13533,CL(i-13:0/i-16:0/i-18:0/i-24:0),HMDB0079095,,Children (1-13 years old),Both,Barth Syndrome
13534,CL(a-13:0/i-16:0/i-18:0/i-24:0)[rac],HMDB0079096,,Children (1-13 years old),Both,Barth Syndrome
13535,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/i-24:0)",HMDB0079097,,Children (1-13 years old),Both,Barth Syndrome
13536,"CL(i-13:0/i-16:0/18:2(9Z,11Z)/a-25:0)[rac]",HMDB0079098,,Children (1-13 years old),Both,Barth Syndrome
13537,"CL(a-13:0/i-16:0/18:2(9Z,11Z)/a-25:0)[rac]",HMDB0079099,,Children (1-13 years old),Both,Barth Syndrome
13538,CL(i-13:0/i-16:0/i-18:0/a-25:0)[rac],HMDB0079100,,Children (1-13 years old),Both,Barth Syndrome
13539,CL(a-13:0/i-16:0/i-18:0/a-25:0)[rac],HMDB0079101,,Children (1-13 years old),Both,Barth Syndrome
13540,CL(i-13:0/i-16:0/i-19:0/i-12:0),HMDB0079102,,Children (1-13 years old),Both,Barth Syndrome
13541,CL(a-13:0/i-16:0/i-19:0/i-12:0)[rac],HMDB0079103,,Children (1-13 years old),Both,Barth Syndrome
13542,CL(i-13:0/i-16:0/i-19:0/i-13:0),HMDB0079104,,Children (1-13 years old),Both,Barth Syndrome
13543,CL(a-13:0/i-16:0/i-19:0/i-13:0)[rac],HMDB0079105,,Children (1-13 years old),Both,Barth Syndrome
13544,CL(i-13:0/i-16:0/i-19:0/a-13:0)[rac],HMDB0079106,,Children (1-13 years old),Both,Barth Syndrome
13545,CL(a-13:0/i-16:0/i-19:0/a-13:0)[rac],HMDB0079107,,Children (1-13 years old),Both,Barth Syndrome
13546,CL(i-13:0/i-16:0/i-19:0/i-14:0),HMDB0079108,,Children (1-13 years old),Both,Barth Syndrome
13547,CL(a-13:0/i-16:0/i-19:0/i-14:0)[rac],HMDB0079109,,Children (1-13 years old),Both,Barth Syndrome
13548,CL(i-13:0/i-16:0/i-19:0/i-15:0),HMDB0079110,,Children (1-13 years old),Both,Barth Syndrome
13549,CL(a-13:0/i-16:0/i-19:0/i-15:0)[rac],HMDB0079111,,Children (1-13 years old),Both,Barth Syndrome
13550,CL(i-13:0/i-16:0/i-19:0/a-15:0)[rac],HMDB0079112,,Children (1-13 years old),Both,Barth Syndrome
13551,CL(a-13:0/i-16:0/i-19:0/a-15:0)[rac],HMDB0079113,,Children (1-13 years old),Both,Barth Syndrome
13552,CL(i-13:0/i-16:0/i-19:0/i-16:0),HMDB0079114,,Children (1-13 years old),Both,Barth Syndrome
13553,CL(a-13:0/i-16:0/i-19:0/i-16:0)[rac],HMDB0079115,,Children (1-13 years old),Both,Barth Syndrome
13554,CL(i-13:0/i-16:0/i-19:0/i-17:0),HMDB0079116,,Children (1-13 years old),Both,Barth Syndrome
13555,CL(a-13:0/i-16:0/i-19:0/i-17:0)[rac],HMDB0079117,,Children (1-13 years old),Both,Barth Syndrome
13556,CL(i-13:0/i-16:0/i-19:0/a-17:0)[rac],HMDB0079118,,Children (1-13 years old),Both,Barth Syndrome
13557,CL(a-13:0/i-16:0/i-19:0/a-17:0)[rac],HMDB0079119,,Children (1-13 years old),Both,Barth Syndrome
13558,"CL(i-13:0/i-16:0/i-19:0/18:2(9Z,11Z))",HMDB0079120,,Children (1-13 years old),Both,Barth Syndrome
13559,CL(i-13:0/i-16:0/i-19:0/i-18:0),HMDB0079121,,Children (1-13 years old),Both,Barth Syndrome
13560,"CL(a-13:0/i-16:0/i-19:0/18:2(9Z,11Z))[rac]",HMDB0079122,,Children (1-13 years old),Both,Barth Syndrome
13561,CL(a-13:0/i-16:0/i-19:0/i-18:0)[rac],HMDB0079123,,Children (1-13 years old),Both,Barth Syndrome
13562,CL(i-13:0/i-16:0/i-19:0/i-19:0),HMDB0079124,,Children (1-13 years old),Both,Barth Syndrome
13563,CL(a-13:0/i-16:0/i-19:0/i-19:0)[rac],HMDB0079125,,Children (1-13 years old),Both,Barth Syndrome
13564,CL(i-13:0/i-16:0/i-19:0/i-20:0),HMDB0079126,,Children (1-13 years old),Both,Barth Syndrome
13565,CL(a-13:0/i-16:0/i-19:0/i-20:0)[rac],HMDB0079127,,Children (1-13 years old),Both,Barth Syndrome
13566,CL(i-13:0/i-16:0/i-19:0/i-21:0),HMDB0079128,,Children (1-13 years old),Both,Barth Syndrome
13567,CL(a-13:0/i-16:0/i-19:0/i-21:0)[rac],HMDB0079129,,Children (1-13 years old),Both,Barth Syndrome
13568,CL(i-13:0/i-16:0/i-19:0/a-21:0)[rac],HMDB0079130,,Children (1-13 years old),Both,Barth Syndrome
13569,CL(a-13:0/i-16:0/i-19:0/a-21:0)[rac],HMDB0079131,,Children (1-13 years old),Both,Barth Syndrome
13570,CL(i-13:0/i-16:0/i-19:0/i-22:0),HMDB0079132,,Children (1-13 years old),Both,Barth Syndrome
13571,CL(a-13:0/i-16:0/i-19:0/i-22:0)[rac],HMDB0079133,,Children (1-13 years old),Both,Barth Syndrome
13572,CL(i-13:0/i-16:0/i-19:0/i-24:0),HMDB0079134,,Children (1-13 years old),Both,Barth Syndrome
13573,CL(a-13:0/i-16:0/i-19:0/i-24:0)[rac],HMDB0079135,,Children (1-13 years old),Both,Barth Syndrome
13574,CL(i-13:0/i-16:0/i-19:0/a-25:0)[rac],HMDB0079136,,Children (1-13 years old),Both,Barth Syndrome
13575,CL(a-13:0/i-16:0/i-19:0/a-25:0)[rac],HMDB0079137,,Children (1-13 years old),Both,Barth Syndrome
13576,CL(i-13:0/i-16:0/i-20:0/i-12:0),HMDB0079138,,Children (1-13 years old),Both,Barth Syndrome
13577,CL(a-13:0/i-16:0/i-20:0/i-12:0)[rac],HMDB0079139,,Children (1-13 years old),Both,Barth Syndrome
13578,CL(i-13:0/i-16:0/i-20:0/i-13:0),HMDB0079140,,Children (1-13 years old),Both,Barth Syndrome
13579,CL(a-13:0/i-16:0/i-20:0/i-13:0)[rac],HMDB0079141,,Children (1-13 years old),Both,Barth Syndrome
13580,CL(i-13:0/i-16:0/i-20:0/a-13:0)[rac],HMDB0079142,,Children (1-13 years old),Both,Barth Syndrome
13581,CL(a-13:0/i-16:0/i-20:0/a-13:0)[rac],HMDB0079143,,Children (1-13 years old),Both,Barth Syndrome
13582,CL(i-13:0/i-16:0/i-20:0/i-14:0),HMDB0079144,,Children (1-13 years old),Both,Barth Syndrome
13583,CL(a-13:0/i-16:0/i-20:0/i-14:0)[rac],HMDB0079145,,Children (1-13 years old),Both,Barth Syndrome
13584,CL(i-13:0/i-16:0/i-20:0/i-15:0),HMDB0079146,,Children (1-13 years old),Both,Barth Syndrome
13585,CL(a-13:0/i-16:0/i-20:0/i-15:0)[rac],HMDB0079147,,Children (1-13 years old),Both,Barth Syndrome
13586,CL(i-13:0/i-16:0/i-20:0/a-15:0)[rac],HMDB0079148,,Children (1-13 years old),Both,Barth Syndrome
13587,CL(a-13:0/i-16:0/i-20:0/a-15:0)[rac],HMDB0079149,,Children (1-13 years old),Both,Barth Syndrome
13588,CL(i-13:0/i-16:0/i-20:0/i-16:0),HMDB0079150,,Children (1-13 years old),Both,Barth Syndrome
13589,CL(a-13:0/i-16:0/i-20:0/i-16:0)[rac],HMDB0079151,,Children (1-13 years old),Both,Barth Syndrome
13590,CL(i-13:0/i-16:0/i-20:0/i-17:0),HMDB0079152,,Children (1-13 years old),Both,Barth Syndrome
13591,CL(a-13:0/i-16:0/i-20:0/i-17:0)[rac],HMDB0079153,,Children (1-13 years old),Both,Barth Syndrome
13592,CL(i-13:0/i-16:0/i-20:0/a-17:0)[rac],HMDB0079154,,Children (1-13 years old),Both,Barth Syndrome
13593,CL(a-13:0/i-16:0/i-20:0/a-17:0)[rac],HMDB0079155,,Children (1-13 years old),Both,Barth Syndrome
13594,"CL(i-13:0/i-16:0/i-20:0/18:2(9Z,11Z))",HMDB0079156,,Children (1-13 years old),Both,Barth Syndrome
13595,CL(i-13:0/i-16:0/i-20:0/i-18:0),HMDB0079157,,Children (1-13 years old),Both,Barth Syndrome
13596,"CL(a-13:0/i-16:0/i-20:0/18:2(9Z,11Z))[rac]",HMDB0079158,,Children (1-13 years old),Both,Barth Syndrome
13597,CL(a-13:0/i-16:0/i-20:0/i-18:0)[rac],HMDB0079159,,Children (1-13 years old),Both,Barth Syndrome
13598,CL(i-13:0/i-16:0/i-20:0/i-19:0),HMDB0079160,,Children (1-13 years old),Both,Barth Syndrome
13599,CL(a-13:0/i-16:0/i-20:0/i-19:0)[rac],HMDB0079161,,Children (1-13 years old),Both,Barth Syndrome
13600,CL(i-13:0/i-16:0/i-20:0/i-20:0),HMDB0079162,,Children (1-13 years old),Both,Barth Syndrome
13601,CL(a-13:0/i-16:0/i-20:0/i-20:0)[rac],HMDB0079163,,Children (1-13 years old),Both,Barth Syndrome
13602,CL(a-13:0/i-16:0/i-20:0/i-21:0)[rac],HMDB0079164,,Children (1-13 years old),Both,Barth Syndrome
13603,CL(i-13:0/i-16:0/i-20:0/a-21:0)[rac],HMDB0079165,,Children (1-13 years old),Both,Barth Syndrome
13604,CL(a-13:0/i-16:0/i-20:0/a-21:0)[rac],HMDB0079166,,Children (1-13 years old),Both,Barth Syndrome
13605,CL(i-13:0/i-16:0/i-20:0/i-22:0),HMDB0079167,,Children (1-13 years old),Both,Barth Syndrome
13606,CL(a-13:0/i-16:0/i-20:0/i-22:0)[rac],HMDB0079168,,Children (1-13 years old),Both,Barth Syndrome
13607,CL(i-13:0/i-16:0/i-20:0/i-24:0),HMDB0079169,,Children (1-13 years old),Both,Barth Syndrome
13608,CL(a-13:0/i-16:0/i-20:0/i-24:0)[rac],HMDB0079170,,Children (1-13 years old),Both,Barth Syndrome
13609,CL(i-13:0/i-16:0/i-20:0/a-25:0)[rac],HMDB0079171,,Children (1-13 years old),Both,Barth Syndrome
13610,CL(a-13:0/i-16:0/i-20:0/a-25:0)[rac],HMDB0079172,,Children (1-13 years old),Both,Barth Syndrome
13611,CL(i-13:0/i-16:0/i-21:0/i-12:0),HMDB0079173,,Children (1-13 years old),Both,Barth Syndrome
13612,CL(a-13:0/i-16:0/a-21:0/i-12:0)[rac],HMDB0079174,,Children (1-13 years old),Both,Barth Syndrome
13613,CL(i-13:0/i-16:0/a-21:0/i-12:0)[rac],HMDB0079175,,Children (1-13 years old),Both,Barth Syndrome
13614,CL(a-13:0/i-16:0/i-21:0/i-12:0)[rac],HMDB0079176,,Children (1-13 years old),Both,Barth Syndrome
13615,CL(i-13:0/i-16:0/i-21:0/i-13:0),HMDB0079177,,Children (1-13 years old),Both,Barth Syndrome
13616,CL(a-13:0/i-16:0/a-21:0/i-13:0)[rac],HMDB0079178,,Children (1-13 years old),Both,Barth Syndrome
13617,CL(i-13:0/i-16:0/a-21:0/i-13:0)[rac],HMDB0079179,,Children (1-13 years old),Both,Barth Syndrome
13618,CL(a-13:0/i-16:0/i-21:0/i-13:0)[rac],HMDB0079180,,Children (1-13 years old),Both,Barth Syndrome
13619,CL(i-13:0/i-16:0/a-21:0/a-13:0)[rac],HMDB0079181,,Children (1-13 years old),Both,Barth Syndrome
13620,CL(a-13:0/i-16:0/a-21:0/a-13:0)[rac],HMDB0079182,,Children (1-13 years old),Both,Barth Syndrome
13621,CL(i-13:0/i-16:0/i-21:0/a-13:0)[rac],HMDB0079183,,Children (1-13 years old),Both,Barth Syndrome
13622,CL(a-13:0/i-16:0/i-21:0/a-13:0)[rac],HMDB0079184,,Children (1-13 years old),Both,Barth Syndrome
13623,CL(i-13:0/i-16:0/i-21:0/i-14:0),HMDB0079185,,Children (1-13 years old),Both,Barth Syndrome
13624,CL(a-13:0/i-16:0/a-21:0/i-14:0)[rac],HMDB0079186,,Children (1-13 years old),Both,Barth Syndrome
13625,CL(i-13:0/i-16:0/a-21:0/i-14:0)[rac],HMDB0079187,,Children (1-13 years old),Both,Barth Syndrome
13626,CL(a-13:0/i-16:0/i-21:0/i-14:0)[rac],HMDB0079188,,Children (1-13 years old),Both,Barth Syndrome
13627,CL(i-13:0/i-16:0/i-21:0/i-15:0),HMDB0079189,,Children (1-13 years old),Both,Barth Syndrome
13628,CL(a-13:0/i-16:0/a-21:0/i-15:0)[rac],HMDB0079190,,Children (1-13 years old),Both,Barth Syndrome
13629,CL(i-13:0/i-16:0/a-21:0/i-15:0)[rac],HMDB0079191,,Children (1-13 years old),Both,Barth Syndrome
13630,CL(a-13:0/i-16:0/i-21:0/i-15:0)[rac],HMDB0079192,,Children (1-13 years old),Both,Barth Syndrome
13631,CL(i-13:0/i-16:0/a-21:0/a-15:0)[rac],HMDB0079193,,Children (1-13 years old),Both,Barth Syndrome
13632,CL(a-13:0/i-16:0/a-21:0/a-15:0)[rac],HMDB0079194,,Children (1-13 years old),Both,Barth Syndrome
13633,CL(i-13:0/i-16:0/i-21:0/a-15:0)[rac],HMDB0079195,,Children (1-13 years old),Both,Barth Syndrome
13634,CL(a-13:0/i-16:0/i-21:0/a-15:0)[rac],HMDB0079196,,Children (1-13 years old),Both,Barth Syndrome
13635,CL(i-13:0/i-16:0/i-21:0/i-16:0),HMDB0079197,,Children (1-13 years old),Both,Barth Syndrome
13636,CL(a-13:0/i-16:0/a-21:0/i-16:0)[rac],HMDB0079198,,Children (1-13 years old),Both,Barth Syndrome
13637,CL(i-13:0/i-16:0/a-21:0/i-16:0)[rac],HMDB0079199,,Children (1-13 years old),Both,Barth Syndrome
13638,CL(a-13:0/i-16:0/i-21:0/i-16:0)[rac],HMDB0079200,,Children (1-13 years old),Both,Barth Syndrome
13639,CL(i-13:0/i-16:0/i-21:0/i-17:0),HMDB0079201,,Children (1-13 years old),Both,Barth Syndrome
13640,CL(a-13:0/i-16:0/a-21:0/i-17:0)[rac],HMDB0079202,,Children (1-13 years old),Both,Barth Syndrome
13641,CL(i-13:0/i-16:0/a-21:0/i-17:0)[rac],HMDB0079203,,Children (1-13 years old),Both,Barth Syndrome
13642,CL(a-13:0/i-16:0/i-21:0/i-17:0)[rac],HMDB0079204,,Children (1-13 years old),Both,Barth Syndrome
13643,CL(i-13:0/i-16:0/a-21:0/a-17:0)[rac],HMDB0079205,,Children (1-13 years old),Both,Barth Syndrome
13644,CL(a-13:0/i-16:0/a-21:0/a-17:0)[rac],HMDB0079206,,Children (1-13 years old),Both,Barth Syndrome
13645,CL(i-13:0/i-16:0/i-21:0/a-17:0)[rac],HMDB0079207,,Children (1-13 years old),Both,Barth Syndrome
13646,CL(a-13:0/i-16:0/i-21:0/a-17:0)[rac],HMDB0079208,,Children (1-13 years old),Both,Barth Syndrome
13647,"CL(i-13:0/i-16:0/i-21:0/18:2(9Z,11Z))",HMDB0079209,,Children (1-13 years old),Both,Barth Syndrome
13648,CL(i-13:0/i-16:0/i-21:0/i-18:0),HMDB0079210,,Children (1-13 years old),Both,Barth Syndrome
13649,CL(a-13:0/i-16:0/a-21:0/i-18:0)[rac],HMDB0079211,,Children (1-13 years old),Both,Barth Syndrome
13650,CL(i-13:0/i-16:0/a-21:0/i-18:0)[rac],HMDB0079212,,Children (1-13 years old),Both,Barth Syndrome
13651,"CL(a-13:0/i-16:0/i-21:0/18:2(9Z,11Z))[rac]",HMDB0079213,,Children (1-13 years old),Both,Barth Syndrome
13652,"CL(a-13:0/i-16:0/a-21:0/18:2(9Z,11Z))[rac]",HMDB0079214,,Children (1-13 years old),Both,Barth Syndrome
13653,"CL(i-13:0/i-16:0/a-21:0/18:2(9Z,11Z))[rac]",HMDB0079215,,Children (1-13 years old),Both,Barth Syndrome
13654,CL(a-13:0/i-16:0/i-21:0/i-18:0)[rac],HMDB0079216,,Children (1-13 years old),Both,Barth Syndrome
13655,CL(i-13:0/i-16:0/i-21:0/i-19:0),HMDB0079217,,Children (1-13 years old),Both,Barth Syndrome
13656,CL(a-13:0/i-16:0/a-21:0/i-19:0)[rac],HMDB0079218,,Children (1-13 years old),Both,Barth Syndrome
13657,CL(i-13:0/i-16:0/a-21:0/i-19:0)[rac],HMDB0079219,,Children (1-13 years old),Both,Barth Syndrome
13658,CL(a-13:0/i-16:0/i-21:0/i-19:0)[rac],HMDB0079220,,Children (1-13 years old),Both,Barth Syndrome
13659,CL(i-13:0/i-16:0/i-21:0/i-20:0),HMDB0079221,,Children (1-13 years old),Both,Barth Syndrome
13660,CL(a-13:0/i-16:0/a-21:0/i-20:0)[rac],HMDB0079222,,Children (1-13 years old),Both,Barth Syndrome
13661,CL(i-13:0/i-16:0/a-21:0/i-20:0)[rac],HMDB0079223,,Children (1-13 years old),Both,Barth Syndrome
13662,CL(a-13:0/i-16:0/i-21:0/i-20:0)[rac],HMDB0079224,,Children (1-13 years old),Both,Barth Syndrome
13663,CL(i-13:0/i-16:0/i-21:0/i-21:0),HMDB0079225,,Children (1-13 years old),Both,Barth Syndrome
13664,CL(a-13:0/i-16:0/a-21:0/i-21:0)[rac],HMDB0079226,,Children (1-13 years old),Both,Barth Syndrome
13665,CL(i-13:0/i-16:0/a-21:0/i-21:0)[rac],HMDB0079227,,Children (1-13 years old),Both,Barth Syndrome
13666,CL(a-13:0/i-16:0/i-21:0/i-21:0)[rac],HMDB0079228,,Children (1-13 years old),Both,Barth Syndrome
13667,CL(i-13:0/i-16:0/a-21:0/a-21:0)[rac],HMDB0079229,,Children (1-13 years old),Both,Barth Syndrome
13668,CL(a-13:0/i-16:0/a-21:0/a-21:0)[rac],HMDB0079230,,Children (1-13 years old),Both,Barth Syndrome
13669,CL(i-13:0/i-16:0/i-21:0/a-21:0)[rac],HMDB0079231,,Children (1-13 years old),Both,Barth Syndrome
13670,CL(a-13:0/i-16:0/i-21:0/a-21:0)[rac],HMDB0079232,,Children (1-13 years old),Both,Barth Syndrome
13671,CL(i-13:0/i-16:0/i-21:0/i-22:0),HMDB0079233,,Children (1-13 years old),Both,Barth Syndrome
13672,CL(a-13:0/i-16:0/a-21:0/i-22:0)[rac],HMDB0079234,,Children (1-13 years old),Both,Barth Syndrome
13673,CL(i-13:0/i-16:0/a-21:0/i-22:0)[rac],HMDB0079235,,Children (1-13 years old),Both,Barth Syndrome
13674,CL(a-13:0/i-16:0/i-21:0/i-22:0)[rac],HMDB0079236,,Children (1-13 years old),Both,Barth Syndrome
13675,CL(i-13:0/i-16:0/i-21:0/i-24:0),HMDB0079237,,Children (1-13 years old),Both,Barth Syndrome
13676,CL(a-13:0/i-16:0/a-21:0/i-24:0)[rac],HMDB0079238,,Children (1-13 years old),Both,Barth Syndrome
13677,CL(i-13:0/i-16:0/a-21:0/i-24:0)[rac],HMDB0079239,,Children (1-13 years old),Both,Barth Syndrome
13678,CL(a-13:0/i-16:0/i-21:0/i-24:0)[rac],HMDB0079240,,Children (1-13 years old),Both,Barth Syndrome
13679,CL(i-13:0/i-16:0/a-21:0/a-25:0)[rac],HMDB0079241,,Children (1-13 years old),Both,Barth Syndrome
13680,CL(a-13:0/i-16:0/a-21:0/a-25:0)[rac],HMDB0079242,,Children (1-13 years old),Both,Barth Syndrome
13681,CL(i-13:0/i-16:0/i-21:0/a-25:0)[rac],HMDB0079243,,Children (1-13 years old),Both,Barth Syndrome
13682,CL(a-13:0/i-16:0/i-21:0/a-25:0)[rac],HMDB0079244,,Children (1-13 years old),Both,Barth Syndrome
13683,CL(i-13:0/i-16:0/i-22:0/i-12:0),HMDB0079245,,Children (1-13 years old),Both,Barth Syndrome
13684,CL(a-13:0/i-16:0/i-22:0/i-12:0)[rac],HMDB0079246,,Children (1-13 years old),Both,Barth Syndrome
13685,CL(i-13:0/i-16:0/i-22:0/i-13:0),HMDB0079247,,Children (1-13 years old),Both,Barth Syndrome
13686,CL(a-13:0/i-16:0/i-22:0/i-13:0)[rac],HMDB0079248,,Children (1-13 years old),Both,Barth Syndrome
13687,CL(i-13:0/i-16:0/i-22:0/a-13:0)[rac],HMDB0079249,,Children (1-13 years old),Both,Barth Syndrome
13688,CL(a-13:0/i-16:0/i-22:0/a-13:0)[rac],HMDB0079250,,Children (1-13 years old),Both,Barth Syndrome
13689,CL(i-13:0/i-16:0/i-22:0/i-14:0),HMDB0079251,,Children (1-13 years old),Both,Barth Syndrome
13690,CL(a-13:0/i-16:0/i-22:0/i-14:0)[rac],HMDB0079252,,Children (1-13 years old),Both,Barth Syndrome
13691,CL(i-13:0/i-16:0/i-22:0/i-15:0),HMDB0079253,,Children (1-13 years old),Both,Barth Syndrome
13692,CL(a-13:0/i-16:0/i-22:0/i-15:0)[rac],HMDB0079254,,Children (1-13 years old),Both,Barth Syndrome
13693,CL(i-13:0/i-16:0/i-22:0/a-15:0)[rac],HMDB0079255,,Children (1-13 years old),Both,Barth Syndrome
13694,CL(a-13:0/i-16:0/i-22:0/a-15:0)[rac],HMDB0079256,,Children (1-13 years old),Both,Barth Syndrome
13695,CL(i-13:0/i-16:0/i-22:0/i-16:0),HMDB0079257,,Children (1-13 years old),Both,Barth Syndrome
13696,CL(a-13:0/i-16:0/i-22:0/i-16:0)[rac],HMDB0079258,,Children (1-13 years old),Both,Barth Syndrome
13697,CL(i-13:0/i-16:0/i-22:0/i-17:0),HMDB0079259,,Children (1-13 years old),Both,Barth Syndrome
13698,CL(a-13:0/i-16:0/i-22:0/i-17:0)[rac],HMDB0079260,,Children (1-13 years old),Both,Barth Syndrome
13699,CL(i-13:0/i-16:0/i-22:0/a-17:0)[rac],HMDB0079261,,Children (1-13 years old),Both,Barth Syndrome
13700,CL(a-13:0/i-16:0/i-22:0/a-17:0)[rac],HMDB0079262,,Children (1-13 years old),Both,Barth Syndrome
13701,"CL(i-13:0/i-16:0/i-22:0/18:2(9Z,11Z))",HMDB0079263,,Children (1-13 years old),Both,Barth Syndrome
13702,CL(i-13:0/i-16:0/i-22:0/i-18:0),HMDB0079264,,Children (1-13 years old),Both,Barth Syndrome
13703,"CL(a-13:0/i-16:0/i-22:0/18:2(9Z,11Z))[rac]",HMDB0079265,,Children (1-13 years old),Both,Barth Syndrome
13704,CL(a-13:0/i-16:0/i-22:0/i-18:0)[rac],HMDB0079266,,Children (1-13 years old),Both,Barth Syndrome
13705,CL(i-13:0/i-16:0/i-22:0/i-19:0),HMDB0079267,,Children (1-13 years old),Both,Barth Syndrome
13706,CL(a-13:0/i-16:0/i-22:0/i-19:0)[rac],HMDB0079268,,Children (1-13 years old),Both,Barth Syndrome
13707,CL(i-13:0/i-16:0/i-22:0/i-20:0),HMDB0079269,,Children (1-13 years old),Both,Barth Syndrome
13708,CL(a-13:0/i-16:0/i-22:0/i-20:0)[rac],HMDB0079270,,Children (1-13 years old),Both,Barth Syndrome
13709,CL(i-13:0/i-16:0/i-22:0/i-21:0),HMDB0079271,,Children (1-13 years old),Both,Barth Syndrome
13710,CL(a-13:0/i-16:0/i-22:0/i-21:0)[rac],HMDB0079272,,Children (1-13 years old),Both,Barth Syndrome
13711,CL(i-13:0/i-16:0/i-22:0/a-21:0)[rac],HMDB0079273,,Children (1-13 years old),Both,Barth Syndrome
13712,CL(a-13:0/i-16:0/i-22:0/a-21:0)[rac],HMDB0079274,,Children (1-13 years old),Both,Barth Syndrome
13713,CL(i-13:0/i-16:0/i-22:0/i-22:0),HMDB0079275,,Children (1-13 years old),Both,Barth Syndrome
13714,CL(a-13:0/i-16:0/i-22:0/i-22:0)[rac],HMDB0079276,,Children (1-13 years old),Both,Barth Syndrome
13715,CL(i-13:0/i-16:0/i-22:0/i-24:0),HMDB0079277,,Children (1-13 years old),Both,Barth Syndrome
13716,CL(a-13:0/i-16:0/i-22:0/i-24:0)[rac],HMDB0079278,,Children (1-13 years old),Both,Barth Syndrome
