,Name,Disease,Disease Synonym,min_age,max_age,min_range,max_range,unit,meta_id
6090,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,1,13,0.50,1.60,mmol/l,209
6091,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,18,64,0.60,0.90,mmol/l,212
6092,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,0,2,0.80,1.50,mmol/l,202
6093,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,1,13,0.70,1.90,mmol/l,210
6094,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,18,64,0.40,1.00,mmol/l,213
6095,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,7,15,0.40,0.90,mmol/l,1137
6096,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,1,7,0.70,1.60,mmol/l,1136
6097,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,1,13,0.90,1.80,mmol/l,203
6098,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,18,64,1.00,1.50,mmol/l,204
6099,L-Lactic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,0,2,2.00,3.00,mmol/l,207
6106,Suberic acid,LONG CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY (LCAD),,1,13,0.00,10.00,µmol/l,379
6107,3-Hydroxyoleoylcarnitine (C18:1-OH),LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,0.00,0.06,µmol/l,1267
6108,3-Hydroxypalmitoylcarnitine (C16-OH),LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,0.00,0.09,µmol/l,1257
6109,3-Hydroxystearoylcarnitine (C18-OH),LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,0.00,0.06,µmol/l,1269
6110,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,13,18,19.00,71.00,μmol/l,1992
6111,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,2,25.00,80.00,μmol/l,9
6112,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,13,11.00,68.00,μmol/l,1092
6113,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,45.00,97.00,µmol/l,37
6114,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0028,36.00,110.00,μmol/l,278
6115,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,47.00,91.00,µmol/l,277
6116,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,41.00,79.00,µmol/l,276
6117,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,28.00,56.00,µmol/l,275
6118,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,24.00,60.00,µmol/l,274
6119,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,27.00,59.00,µmol/l,273
6120,Ammonia,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,27.00,57.00,µmol/l,279
6121,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,6.83,43.45,µmol/l,1214
6122,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,11.61,73.87,µmol/l,1215
6123,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,13,23.00,60.00,µmol/l,59
6124,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,18,64,35.00,55.00,µmol/l,268
6125,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,13,20.00,40.00,µmol/l,1090
6126,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,2,15.00,40.00,µmol/l,1163
6127,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,10.00,44.00,µmol/l,1213
6128,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,2,13.00,23.00,µmol/l,1141
6129,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,7,11.50,18.00,µmol/l,1142
6130,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,7,15,18.00,30.00,µmol/l,1143
6131,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,13,40.00,60.00,µmol/l,267
6132,L-Carnitine,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,9.00,23.00,µmol/l,1089
6133,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,13,18,2.60,5.50,mmol/l,47
6134,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,18,64,2.60,5.50,mmol/l,281
6135,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,13,3.30,5.50,mmol/l,282
6136,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0907,1.10,3.30,mmol/l,280
6137,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0028,2.20,3.30,mmol/l,283
6138,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0028,2.80,5.00,mmol/l,46
6139,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,,,2.70,4.50,mmol/l,1134
6140,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,,,3.00,4.30,mmol/l,1135
6141,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,1,13,2.60,5.50,mmol/l,490
6142,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.0028,2.60,5.50,mmol/l,333
6143,D-Glucose,LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,2,2.60,5.50,mmol/l,334
6145,Oleoylcarnitine (C18:1),LONG-CHAIN-3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY (LCHAD),LCHAD DEFICIENCY; HADHA,0,0.02,0.73,3.15,µmol/l,1261
6151,Arginine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,13,18,1.00,81.00,μmol/l,1928
6152,Citrulline,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,8.00,47.00,μmol/l,1940
6153,Glutamine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,13,18,457.00,857.00,μmol/l,1942
6154,Glutamine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,18,64,205.00,756.00,μmol/l,1943
6155,L-Lysine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,18,64,0.00,239.00,μmol/l,1954
6156,L-Lysine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,13,18,116.00,276.00,μmol/l,1955
6157,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,18,64,27.00,195.00,μmol/l,1958
6158,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,20.00,136.00,μmol/l,1959
6159,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,13,18,47.00,195.00,μmol/l,1960
6160,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,13,18,19.00,71.00,μmol/l,1992
6161,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,25.00,80.00,μmol/l,9
6162,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,11.00,68.00,μmol/l,1092
6163,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,45.00,97.00,µmol/l,37
6164,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,36.00,110.00,μmol/l,278
6165,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,47.00,91.00,µmol/l,277
6166,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,41.00,79.00,µmol/l,276
6167,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,28.00,56.00,µmol/l,275
6168,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,24.00,60.00,µmol/l,274
6169,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,27.00,59.00,µmol/l,273
6170,Ammonia,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,27.00,57.00,µmol/l,279
6171,Arginine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,6.00,140.00,μmol/l,11
6172,Arginine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,12.00,133.00,μmol/l,39
6173,Arginine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,12.00,133.00,μmol/l,720
6174,Arginine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,18,64,15.00,128.00,μmol/l,1309
6175,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.02,6.83,43.45,µmol/l,1214
6176,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.02,11.61,73.87,µmol/l,1215
6177,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,23.00,60.00,µmol/l,59
6178,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,18,64,35.00,55.00,µmol/l,268
6179,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,20.00,40.00,µmol/l,1090
6180,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,15.00,40.00,µmol/l,1163
6181,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.02,10.00,44.00,µmol/l,1213
6182,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,13.00,23.00,µmol/l,1141
6183,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,7,11.50,18.00,µmol/l,1142
6184,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,7,15,18.00,30.00,µmol/l,1143
6185,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,40.00,60.00,µmol/l,267
6186,L-Carnitine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0907,9.00,23.00,µmol/l,1089
6187,Citrulline,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,7.00,50.00,μmol/l,16
6188,Citrulline,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,18,64,15.00,55.00,μmol/l,1189
6189,Citrulline,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,7.00,35.00,μmol/l,1292
6190,Citrulline,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,13,18,19.00,52.00,μmol/ml,1293
6191,Glutamine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,178.00,886.00,μmol/l,14
6192,Glutamine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,333.00,809.00,μmol/l,706
6193,Hydroxyproline,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.02,0.00,91.00,µmol/l,131
6194,L-Lysine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,92.00,325.00,μmol/l,25
6195,L-Lysine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,52.00,196.00,μmol/l,41
6196,L-Lysine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,66.00,270.00,μmol/l,42
6197,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,41.00,129.00,μmol/l,10
6198,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,36.00,96.00,μmol/l,704
6199,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,2,9.00,123.00,μmol/l,1307
6200,Ornithine,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,0,0.0028,10.00,214.00,μmol/l,1308
6201,Orotic acid,LYSINURIC PROTEIN INTOLERANCE (LPI),HYPERDIBASIC AMINOACIDURIA II; DIBASIC AMINOACIDURIA II; HYPERDIBASIC AMINOACIDURIA II; LPI,1,13,0.00,0.50,µmol/l,804
6203,Hemoglobine,LYSOSOMAL ACID LIPASE DEFICIENCY; LAL-D,WOLMAN DISEASE; LAL-D; LIPA DEFICIENCY; CESD,0,0.02,12.00,20.00,g/dl,485
6204,Hemoglobine,LYSOSOMAL ACID LIPASE DEFICIENCY; LAL-D,WOLMAN DISEASE; LAL-D; LIPA DEFICIENCY; CESD,1,13,12.00,15.00,g/dl,693
6205,Hemoglobine,LYSOSOMAL ACID LIPASE DEFICIENCY; LAL-D,WOLMAN DISEASE; LAL-D; LIPA DEFICIENCY; CESD,0,2,9.00,14.00,g/dl,1007
6206,Hemoglobine,MAJEED SYNDROME; MJDS (LPIN2),"CHRONIC RECURRENT MULTIFOCAL OSTEOMYELITIS, CONGENITAL DYSERYTHROPOIETIC ANEMIA, AND NEUTROPHILIC DERMATOSIS",0,0.02,12.00,20.00,g/dl,485
6207,Hemoglobine,MAJEED SYNDROME; MJDS (LPIN2),"CHRONIC RECURRENT MULTIFOCAL OSTEOMYELITIS, CONGENITAL DYSERYTHROPOIETIC ANEMIA, AND NEUTROPHILIC DERMATOSIS",1,13,12.00,15.00,g/dl,693
6208,Hemoglobine,MAJEED SYNDROME; MJDS (LPIN2),"CHRONIC RECURRENT MULTIFOCAL OSTEOMYELITIS, CONGENITAL DYSERYTHROPOIETIC ANEMIA, AND NEUTROPHILIC DERMATOSIS",0,2,9.00,14.00,g/dl,1007
6209,Succinylacetone,MALEYLACETOACETATE ISOMERASE,"MAAI DEFICIENCY HYPERSUCCINYLACETONEMIA, MILD; MHSA",0,0.0028,0.00,0.02,μmol/l,2076
6210,L-Pyroglutamic acid (5-Oxoproline),MALEYLACETOACETATE ISOMERASE,"MAAI DEFICIENCY HYPERSUCCINYLACETONEMIA, MILD; MHSA",0,0.02,14.00,62.54,µmol/ml,1284
6211,L-Pyroglutamic acid (5-Oxoproline),MALEYLACETOACETATE ISOMERASE,"MAAI DEFICIENCY HYPERSUCCINYLACETONEMIA, MILD; MHSA",18,64,13.00,161.00,µmol/l,394
6212,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,13,18,19.00,71.00,μmol/l,1992
6213,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,2,25.00,80.00,μmol/l,9
6214,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,1,13,11.00,68.00,μmol/l,1092
6215,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,45.00,97.00,µmol/l,37
6216,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0028,36.00,110.00,μmol/l,278
6217,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,47.00,91.00,µmol/l,277
6218,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,41.00,79.00,µmol/l,276
6219,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,28.00,56.00,µmol/l,275
6220,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,24.00,60.00,µmol/l,274
6221,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,27.00,59.00,µmol/l,273
6222,Ammonia,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,27.00,57.00,µmol/l,279
6223,Fumaric acid,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,18,64,0.00,4.00,µmol/l,359
6224,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,13,18,2.60,5.50,mmol/l,47
6225,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,18,64,2.60,5.50,mmol/l,281
6226,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,1,13,3.30,5.50,mmol/l,282
6227,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0907,1.10,3.30,mmol/l,280
6228,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0028,2.20,3.30,mmol/l,283
6229,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0028,2.80,5.00,mmol/l,46
6230,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,,,2.70,4.50,mmol/l,1134
6231,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,,,3.00,4.30,mmol/l,1135
6232,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,1,13,2.60,5.50,mmol/l,490
6233,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0028,2.60,5.50,mmol/l,333
6234,D-Glucose,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,2,2.60,5.50,mmol/l,334
6235,Glutaric acid,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,99,0.50,2.90,μmol/l,284
6236,Malic acid,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,1,13,0.00,21.00,µmol/l,332
6237,Malonylcarnitine (C3DC),MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.02,0.00,0.16,µmol/l,1229
6238,Methylmalonic acid,MALONYL-COA DECARBOXYLASE DEFICIENCY,MALONIC ACIDURIA,0,0.0028,0.00,0.20,μmol/l,392
